	V1	V2
224	Hist1h1c	Tspan4
225	Lipa	Tspan4
226	Gpnmb	Ftl1-ps1
227	Syngr1	Ftl1-ps1
228	Igf1	Ftl1-ps1
229	Serpinb6a	Ftl1-ps1
230	Fabp4	Ftl1-ps1
231	Pld3	Ftl1-ps1
232	Hist1h2bc	Ftl1-ps1
233	Adam8	Ftl1-ps1
234	Hist1h1c	Ftl1-ps1
235	Gas6	Ftl1-ps1
236	Lipa	Ftl1-ps1
237	Atp6v1a	Ftl1-ps1
238	Mertk	Ftl1-ps1
239	Rhoc	Ftl1-ps1
240	Tspan4	Ftl1-ps1
241	Malat1	Tceal9
242	Fabp4	Tceal9
243	Camk1	Tceal9
244	Gpnmb	Atp6v0d2
245	Syngr1	Atp6v0d2
246	Igf1	Atp6v0d2
247	Lpl	Atp6v0d2
248	Serpinb6a	Atp6v0d2
249	Mmp12	Atp6v0d2
250	Fabp4	Atp6v0d2
251	Pld3	Atp6v0d2
252	Hist1h2bc	Atp6v0d2
253	Acp5	Atp6v0d2
254	Hist1h1c	Atp6v0d2
255	Lipa	Atp6v0d2
256	Ptms	Atp6v0d2
257	Cd84	Atp6v0d2
258	Mfge8	Atp6v0d2
259	Atp6v1a	Atp6v0d2
260	Cyb5a	Atp6v0d2
261	Gpr137b	Atp6v0d2
262	Rhoc	Atp6v0d2
263	Ftl1-ps1	Atp6v0d2
264	Igf1	Cadm1
265	Serpinb6a	Cadm1
266	Fabp4	Cadm1
267	Pld3	Cadm1
268	Lipa	Cadm1
269	Cxcl14	Cadm1
270	Rcbtb2	Cadm1
271	Hist1h2bc	Bcl2l1
272	Hist1h1c	Bcl2l1
273	Stmn1	Bcl2l1
274	Gpnmb	Selenom
275	Syngr1	Selenom
276	Serpinb6a	Selenom
277	Lipa	Selenom
278	Mfge8	Selenom
279	Pea15a	Selenom
280	Malat1	Prdx4
281	Lpl	Prdx4
282	Serpinb6a	Prdx4
283	Mmp12	Prdx4
284	Pld3	Prdx4
285	Hist1h2bc	Prdx4
286	Gas6	Prdx4
287	Stmn1	Prdx4
288	Mfge8	Prdx4
289	Blnk	Prdx4
290	Cyb5a	Prdx4
291	Ifi27	Prdx4
292	Malat1	Tle5
293	Gpnmb	Tle5
294	Serpinb6a	Tle5
295	Mmp12	Tle5
296	Pld3	Tle5
297	Hist1h2bc	Tle5
298	Adam8	Tle5
299	Camk1	Tle5
300	Hist1h1c	Tle5
301	Stmn1	Tle5
302	Blnk	Tle5
303	Cyb5a	Tle5
304	Rhoc	Tle5
305	Selenoh	Tle5
306	Tspan4	Tle5
307	Ftl1-ps1	Tle5
308	Atp6v0d2	Tle5
309	Bcl2l1	Tle5
310	Prdx4	Tle5
311	Malat1	Sptssa
312	Igf1	Sptssa
313	Lpl	Sptssa
314	Serpinb6a	Sptssa
315	Hist1h2bc	Sptssa
316	Wwp1	Sptssa
317	Hist1h1c	Sptssa
318	Gas6	Sptssa
319	Lipa	Sptssa
320	Ptms	Sptssa
321	Stmn1	Sptssa
322	Mertk	Sptssa
323	Blnk	Sptssa
324	Cyb5a	Sptssa
325	Pea15a	Sptssa
326	Ftl1-ps1	Sptssa
327	Tceal9	Sptssa
328	Atp6v0d2	Sptssa
329	Cadm1	Sptssa
330	Tle5	Sptssa
331	Serpinb6a	Cela1
332	Hist1h2bc	Cela1
333	Adam8	Cela1
334	Camk1	Cela1
335	Wwp1	Cela1
336	Stab1	Cela1
337	Gas6	Cela1
338	Stmn1	Cela1
339	Folr2	Cela1
340	Tle5	Cela1
341	Gpnmb	Ttyh2
342	Igf1	Ttyh2
343	Serpinb6a	Ttyh2
344	Mmp12	Ttyh2
345	Fabp4	Ttyh2
346	Pld3	Ttyh2
347	Blnk	Ttyh2
348	Rhoc	Ttyh2
349	Ftl1-ps1	Ttyh2
350	Gpnmb	Fam20c
351	Lpl	Fam20c
352	Mmp12	Fam20c
353	Pld3	Fam20c
354	Gpr137b	Fam20c
355	Ttyh2	Fam20c
356	Gpnmb	Slc48a1
357	Syngr1	Slc48a1
358	Lpl	Slc48a1
359	Serpinb6a	Slc48a1
360	Hist1h2bc	Slc48a1
361	Acp5	Slc48a1
362	Adam8	Slc48a1
363	Camk1	Slc48a1
364	Stab1	Slc48a1
365	Hist1h1c	Slc48a1
366	Gas6	Slc48a1
367	Lipa	Slc48a1
368	Cyb5a	Slc48a1
369	Tspan4	Slc48a1
370	Ftl1-ps1	Slc48a1
371	Tceal9	Slc48a1
372	Tle5	Slc48a1
373	Sptssa	Slc48a1
374	Cela1	Slc48a1
375	Malat1	Slc25a4
376	Serpinb6a	Slc25a4
377	Hist1h2bc	Slc25a4
378	Camk1	Slc25a4
379	Atp6v1a	Slc25a4
380	Blnk	Slc25a4
381	Tspan4	Slc25a4
382	Sptssa	Slc25a4
383	Gpnmb	Dnmt3a
384	Igf1	Dnmt3a
385	Serpinb6a	Dnmt3a
386	Pld3	Dnmt3a
387	Acp5	Dnmt3a
388	Ptms	Dnmt3a
389	Mfge8	Dnmt3a
390	Atp6v1a	Dnmt3a
391	Gpr137b	Dnmt3a
392	Atp6v0d2	Dnmt3a
393	Ttyh2	Dnmt3a
394	Slc25a4	Dnmt3a
395	Malat1	Uap1l1
396	Gpnmb	Uap1l1
397	Fabp4	Uap1l1
398	Adam8	Uap1l1
399	Gas6	Uap1l1
400	Lipa	Uap1l1
401	Gpr137b	Uap1l1
402	Selenom	Uap1l1
403	Lpl	Pkib
404	Gas6	Pkib
405	Ifi27	Pkib
406	Sptssa	Pkib
407	Malat1	Nenf
408	Gpnmb	Nenf
409	Igf1	Nenf
410	Serpinb6a	Nenf
411	Fabp4	Nenf
412	Ifi27	Nenf
413	Selenoh	Nenf
414	Cadm1	Nenf
415	Sptssa	Nenf
416	Malat1	Hebp1
417	Gpnmb	Hebp1
418	Syngr1	Hebp1
419	Igf1	Hebp1
420	Serpinb6a	Hebp1
421	Pld3	Hebp1
422	Lipa	Hebp1
423	Mfge8	Hebp1
424	Blnk	Hebp1
425	Cyb5a	Hebp1
426	Cxcl14	Hebp1
427	Rhoc	Hebp1
428	Atp6v0d2	Hebp1
429	Prdx4	Hebp1
430	Tle5	Hebp1
431	Fam20c	Hebp1
432	Slc25a4	Hebp1
433	Gpnmb	Pdgfc
434	Igf1	Pdgfc
435	Serpinb6a	Pdgfc
436	Lipa	Pdgfc
437	Blnk	Pdgfc
438	Prdx4	Pdgfc
439	Sptssa	Pdgfc
440	Malat1	Npy
441	Gpnmb	Npy
442	Igf1	Npy
443	Lpl	Npy
444	Serpinb6a	Npy
445	Mmp12	Npy
446	Fabp4	Npy
447	Pld3	Npy
448	Cd36	Npy
449	Hist1h2bc	Npy
450	Adam8	Npy
451	Hist1h1c	Npy
452	Lipa	Npy
453	Stmn1	Npy
454	Mfge8	Npy
455	Blnk	Npy
456	Cyb5a	Npy
457	Gpr137b	Npy
458	Ifi27	Npy
459	Rhoc	Npy
460	Ftl1-ps1	Npy
461	Tceal9	Npy
462	Atp6v0d2	Npy
463	Cadm1	Npy
464	Bcl2l1	Npy
465	Prdx4	Npy
466	Tle5	Npy
467	Slc25a4	Npy
468	Uap1l1	Npy
469	Hebp1	Npy
470	Gpnmb	Lhfpl2
471	Mmp12	Lhfpl2
472	Adam8	Lhfpl2
473	Lipa	Lhfpl2
474	Pea15a	Lhfpl2
475	Gpnmb	Fundc2
476	Igf1	Fundc2
477	Stmn1	Fundc2
478	Prdx4	Fundc2
479	Gpnmb	Mpp1
480	Igf1	Mpp1
481	Gas6	Mpp1
482	Atp6v1a	Mpp1
483	Sptssa	Mpp1
484	Syngr1	Clec2i
485	Hist1h1c	Clec2i
486	Serpinb6a	Aamdc
487	Ifi27	Aamdc
488	Slc48a1	Aamdc
