V1	V2
547	Pgm1	Eif2s2
548	Man1a	Eif2s2
549	Hmox1	Papss2
550	Inhba	Papss2
551	Fn1	Pxk
552	Errfi1	Pxk
553	Myo1e	Pxk
554	Nrg1	Pxk
555	Ms4a6d	Cox4i2
556	Hes1	Cox4i2
557	Ormdl2	Cox4i2
558	Pde4d	Cox4i2
559	Dab2	Cox4i2
560	Gpr171	Cox4i2
561	Fam172a	Cox4i2
562	Imp4	Cox4i2
563	Ccl12	AU022252
564	Hes1	AU022252
565	Lmna	Yipf5
566	Cd86	Yipf5
567	Nr4a2	Yipf5
568	Man1a	Yipf5
569	Dapk1	Yipf5
