V1	V2
220	Plxna4	A930037H05Rik
221	Hs6st2	A930037H05Rik
222	Slc7a2	A930037H05Rik
223	Lurap1l	A930037H05Rik
224	C1qtnf3	Kcnq3
225	Kcnma1	Kcnq3
226	Plxna4	Kcnq3
227	Trabd2b	Kcnq3
228	Adamts17	Kcnq3
229	A930037H05Rik	Kcnq3
230	Fndc1	Gm4117
231	Col11a1	Gm4117
232	Strbp	Gm4117
233	Nuak1	Gm4117
234	St3gal5	Gm4117
235	Wfdc18	Fmn1
236	Col11a1	Fmn1
237	Cdh11	Fmn1
238	Itm2a	Cd59a
239	Nhs	Cd59a
240	Etl4	Cd59a
241	Itm2a	Ssc5d
242	Itm2a	Erbin
243	Mfap2	Erbin
244	4930523C07Rik	Erbin
245	Nrp2	Erbin
246	A930037H05Rik	Erbin
247	Itm2a	Acan
248	Eif1	Acan
249	Mdk	Acan
250	H19	Acan
251	Thbs2	Acan
252	Col11a1	Acan
253	Tsc22d1	Acan
254	Kcnma1	Acan
255	4931406P16Rik	Acan
256	Col16a1	Acan
257	Ifitm10	Acan
258	St3gal5	Acan
259	Fmn1	Acan
260	H19	Kdm5b
261	Thbs2	Tmem263
262	C1qtnf3	Myo1e
263	Rin2	Myo1e
264	Ncam1	Myo1e
265	Tln2	Myo1e
266	Piezo2	Pik3r3
267	Kcnma1	Pik3r3
268	Nhs	Pik3r3
269	Ncam1	Tcea3
270	Phldb2	Ramp1
271	Sulf2	Ramp1
272	Mpped2	Ramp1
273	Kcnj15	Ramp1
274	Kcnma1	Jph2
275	4930523C07Rik	Jph2
276	Adamts17	Jph2
277	Pamr1	Osbpl8
278	Sulf2	Osbpl8
279	Antxr1	Ltbp1
280	Plxna4	Ltbp1
281	Antxr1	Ednra
282	Nhs	Flrt2
283	Etl4	Flrt2
284	Col16a1	Slc31a1
