V1	V2
240	Cxcl1	Cd24a
241	Fam162a	Cd24a
242	Il6	Cd24a
243	Bst1	Cd24a
244	Serpine1	Cd24a
245	Arg1	Bcl2a1d
246	Hilpda	Bcl2a1d
247	Thbs1	Bcl2a1d
248	Cxcl3	Bcl2a1d
249	Ccl24	Bcl2a1d
250	S100a8	Bcl2a1d
251	Vcan	Bcl2a1d
252	Mt2	Bcl2a1d
253	Fam162a	Bcl2a1d
254	Il6	Bcl2a1d
255	Lpp	Bcl2a1d
256	Bst1	Bcl2a1d
257	Serpine1	Bcl2a1d
258	Hilpda	Rab11fip1
259	Cxcl3	Rab11fip1
260	Vcan	Rab11fip1
261	Cxcl1	Rab11fip1
262	Il6	Rab11fip1
263	Bst1	Rab11fip1
264	Arg1	Ptgs2
265	Hilpda	Ptgs2
266	Thbs1	Ptgs2
267	Cxcl3	Ptgs2
268	Ccl3	Ptgs2
269	Ccl24	Ptgs2
270	Sdc4	Ptgs2
271	Cxcl1	Ptgs2
272	Fam162a	Ptgs2
273	Areg	Ptgs2
274	Sgms1	Ptgs2
275	Il6	Ptgs2
276	Serpine1	Ptgs2
277	Rab11fip1	Ptgs2
278	Slc16a3	Ankrd37
279	Vcan	Ankrd37
280	Itgam	Ankrd37
281	Il6	Ankrd37
282	Egln3	Ankrd37
283	Serpine1	Ankrd37
284	Arg1	Wfdc21
285	B2m	Wfdc21
286	Hilpda	Wfdc21
287	Thbs1	Wfdc21
288	Cxcl3	Wfdc21
289	Ccl24	Wfdc21
290	S100a8	Wfdc21
291	Vcan	Wfdc21
292	Mt2	Wfdc21
293	Il6	Wfdc21
294	Cd24a	Wfdc21
295	Ankrd37	Wfdc21
296	S100a8	Ets2
297	Ptgs2	Ets2
298	Hilpda	Car4
299	Thbs1	Car4
300	Cxcl3	Car4
301	Ccl24	Car4
302	Cxcl1	Car4
303	Hif1a	Car4
304	Il6	Car4
305	Bst1	Car4
306	Cd24a	Car4
307	Bcl2a1d	Car4
308	Rab11fip1	Car4
309	Arg1	Rffl
310	Hilpda	Rffl
311	Thbs1	Rffl
312	Cxcl3	Rffl
313	Ccl24	Rffl
314	S100a8	Rffl
315	Cxcl1	Rffl
316	Areg	Rffl
317	Il6	Rffl
318	Serpine1	Rffl
319	Serpinb2	Rffl
320	Ptgs2	Rffl
321	Hilpda	Rbpms
322	Thbs1	Rbpms
323	Cxcl3	Rbpms
324	Ccl24	Rbpms
325	Pdpn	Rbpms
326	Vcan	Rbpms
327	Mt2	Rbpms
328	Cxcl1	Rbpms
329	Itgam	Rbpms
330	Il6	Rbpms
331	Cd24a	Rbpms
332	Ptgs2	Rbpms
333	Wfdc21	Rbpms
334	Rffl	Rbpms
335	Hilpda	Slc7a8
336	Thbs1	Slc7a8
337	Cxcl3	Slc7a8
338	Pdpn	Slc7a8
339	Inhba	Slc7a8
340	Ets2	Slc7a8
341	Ccl3	Mthfd1l
342	Ccl24	Mthfd1l
343	Slc16a3	Mthfd1l
344	Ero1l	Mthfd1l
345	Bnip3	Mthfd1l
346	Fam162a	Mthfd1l
347	Hif1a	Mthfd1l
348	Slc2a1	Mthfd1l
349	Ankrd37	Mthfd1l
350	Thbs1	Gm13986
351	Cxcl3	Gm13986
352	Hif1a	Gm13986
353	Slc7a8	Gm13986
354	Arg1	Tlr4
355	Thbs1	Tlr4
356	Cxcl3	Tlr4
357	Ccl24	Tlr4
358	Slc16a3	Tlr4
359	Vcan	Tlr4
360	Mt2	Tlr4
361	Inhba	Tlr4
362	Cacna1d	Tlr4
363	Itgam	Tlr4
364	Sgms1	Tlr4
365	Il6	Tlr4
366	Serpinb2	Tlr4
367	Wfdc21	Tlr4
368	Rbpms	Tlr4
369	Hilpda	Gbe1
370	S100a8	Gbe1
371	Mt2	Gbe1
372	Ero1l	Gbe1
373	Fam162a	Gbe1
374	Tlr4	Gbe1
375	Arg1	Pfkl
376	Hilpda	Pfkl
377	Cxcl3	Pfkl
378	Ccl24	Pfkl
379	S100a8	Pfkl
380	Slc16a3	Pfkl
381	Vcan	Pfkl
382	Fam162a	Pfkl
383	Slc2a1	Pfkl
384	Il6	Pfkl
385	Bst1	Pfkl
386	Serpine1	Pfkl
387	Wfdc21	Pfkl
388	Arg1	Bcl2a1a
