V1	V2
Fcer1g	Atf4
Rgcc	Atf4
Rps23	Atf4
F10	Atf4
Rpl11	Atf4
Manf	Atf4
Smox	Atf4
Inhba	Atf4
Fndc3a	Atf4
Dnajb9	Atf4
Sgms2	Atf4
Maml2	Atf4
Grina	Atf4
Ndrg1	Atf4
Pfkp	Atf4
Egln3	Atf4
Lyz2	Snx18
Tmsb4x	Snx18
Cxcl3	Snx18
Rpl37a	Snx18
Rps27a	Snx18
Rpl32	Snx18
Rps18	Snx18
Rps4x	Snx18
Rps19	Snx18
Rpl13	Snx18
Rps8	Snx18
Rplp1	Snx18
Rgcc	Snx18
Rps23	Snx18
Rpl11	Snx18
Slc16a3	Snx18
Manf	Snx18
Mt2	Snx18
Smox	Snx18
Bnip3	Snx18
Fndc3a	Snx18
P4hb	Snx18
Maml2	Snx18
Ndrg1	Snx18
Tes	Snx18
Lyz2	Herpud1
Ctss	Herpud1
Cst3	Herpud1
Tmsb4x	Herpud1
Cxcl3	Herpud1
Tyrobp	Herpud1
Fcer1g	Herpud1
Rgcc	Herpud1
Rpl11	Herpud1
Slc16a3	Herpud1
Manf	Herpud1
Mt2	Herpud1
Emilin2	Herpud1
Smox	Herpud1
Ero1l	Herpud1
Bnip3	Herpud1
Fam162a	Herpud1
Higd1a	Herpud1
Dnajb9	Herpud1
Gpr141	Herpud1
Dok2	Herpud1
Slc2a1	Herpud1
Eif4ebp1	Herpud1
P4hb	Herpud1
Maml2	Herpud1
Grina	Herpud1
Ndrg1	Herpud1
Tes	Herpud1
Tuba1a	Herpud1
Pfkp	Herpud1
Egln3	Herpud1
Atf4	Herpud1
Lyz2	Gpat3
Ctss	Gpat3
Cst3	Gpat3
Tmsb4x	Gpat3
Cxcl3	Gpat3
Rpl37a	Gpat3
Tyrobp	Gpat3
Rpl32	Gpat3
Slpi	Gpat3
Rps18	Gpat3
Rpl41	Gpat3
Rpl13	Gpat3
Rps8	Gpat3
Rpl3	Gpat3
Prdx6	Gpat3
Rpl14	Gpat3
Rgcc	Gpat3
F10	Gpat3
Rpl11	Gpat3
Ccr1	Gpat3
Slc16a3	Gpat3
Manf	Gpat3
Smox	Gpat3
Ero1l	Gpat3
Inhba	Gpat3
Bnip3	Gpat3
Fam162a	Gpat3
Higd1a	Gpat3
Fndc3a	Gpat3
Dnajb9	Gpat3
Gpr141	Gpat3
Slc2a1	Gpat3
Eif4ebp1	Gpat3
P4hb	Gpat3
Sgms2	Gpat3
Maml2	Gpat3
Trem1	Gpat3
Grina	Gpat3
Ndrg1	Gpat3
Tes	Gpat3
Pfkp	Gpat3
Egln3	Gpat3
Atf4	Gpat3
Herpud1	Gpat3
Lyz2	Serpine1
Cst3	Serpine1
Tmsb4x	Serpine1
Cxcl3	Serpine1
Rps29	Serpine1
Rpl13	Serpine1
Rps8	Serpine1
Rplp1	Serpine1
Prdx6	Serpine1
Rgcc	Serpine1
Rps23	Serpine1
Slc16a3	Serpine1
Manf	Serpine1
Emilin2	Serpine1
Smox	Serpine1
Ero1l	Serpine1
Nedd9	Serpine1
Inhba	Serpine1
Bnip3	Serpine1
Fam162a	Serpine1
Higd1a	Serpine1
Fndc3a	Serpine1
Eif4ebp1	Serpine1
P4hb	Serpine1
Trem1	Serpine1
Grina	Serpine1
Tes	Serpine1
Pfkp	Serpine1
Egln3	Serpine1
Gpat3	Serpine1
Lyz2	Serpinb2
Ctss	Serpinb2
Cst3	Serpinb2
Tmsb4x	Serpinb2
Cxcl3	Serpinb2
Rpl37a	Serpinb2
Rps27a	Serpinb2
Tyrobp	Serpinb2
Rpl32	Serpinb2
Rps18	Serpinb2
Rps4x	Serpinb2
Rps19	Serpinb2
Rpl13	Serpinb2
Rps8	Serpinb2
Rplp1	Serpinb2
Rpl3	Serpinb2
Fcer1g	Serpinb2
Rpl14	Serpinb2
Rgcc	Serpinb2
Rps23	Serpinb2
F10	Serpinb2
Rpl11	Serpinb2
Slc16a3	Serpinb2
Mt2	Serpinb2
Smox	Serpinb2
Ero1l	Serpinb2
Inhba	Serpinb2
Bnip3	Serpinb2
Fam162a	Serpinb2
Higd1a	Serpinb2
Fndc3a	Serpinb2
Dnajb9	Serpinb2
Slc2a1	Serpinb2
Eif4ebp1	Serpinb2
P4hb	Serpinb2
Sgms2	Serpinb2
Maml2	Serpinb2
Trem1	Serpinb2
Grina	Serpinb2
Ndrg1	Serpinb2
Tuba1a	Serpinb2
Pfkp	Serpinb2
Egln3	Serpinb2
Atf4	Serpinb2
Ctss	Creld2
Cst3	Creld2
Tmsb4x	Creld2
Cxcl3	Creld2
Rps18	Creld2
Rps19	Creld2
Prdx6	Creld2
Rgcc	Creld2
F10	Creld2
Rpl11	Creld2
Slc16a3	Creld2
Manf	Creld2
Mt2	Creld2
Emilin2	Creld2
Smox	Creld2
Ero1l	Creld2
Nedd9	Creld2
Bnip3	Creld2
Fam162a	Creld2
Higd1a	Creld2
Pilra	Creld2
Fndc3a	Creld2
Dnajb9	Creld2
Gpr141	Creld2
Slc2a1	Creld2
Eif4ebp1	Creld2
P4hb	Creld2
Sgms2	Creld2
Trem1	Creld2
Grina	Creld2
Ndrg1	Creld2
Tes	Creld2
Tuba1a	Creld2
Pfkp	Creld2
Egln3	Creld2
Herpud1	Creld2
Gpat3	Creld2
Lyz2	Pcgf5
Tmsb4x	Pcgf5
Cxcl3	Pcgf5
Rpl32	Pcgf5
Rps18	Pcgf5
Rps8	Pcgf5
Rpl3	Pcgf5
Rpl14	Pcgf5
Rgcc	Pcgf5
Slc16a3	Pcgf5
Manf	Pcgf5
Mt2	Pcgf5
Smox	Pcgf5
Ero1l	Pcgf5
Inhba	Pcgf5
Bnip3	Pcgf5
Fam162a	Pcgf5
Fndc3a	Pcgf5
Dnajb9	Pcgf5
Gpr141	Pcgf5
Slc2a1	Pcgf5
Eif4ebp1	Pcgf5
P4hb	Pcgf5
Pfkp	Pcgf5
Egln3	Pcgf5
Serpinb2	Pcgf5
Lyz2	F5
Ctss	F5
Cst3	F5
Tmsb4x	F5
Tyrobp	F5
Fcer1g	F5
Prdx6	F5
Rpl14	F5
Rgcc	F5
F10	F5
Slc16a3	F5
Manf	F5
Mt2	F5
Ero1l	F5
Nedd9	F5
Bnip3	F5
Fam162a	F5
Pilra	F5
Fndc3a	F5
Dnajb9	F5
Gpr141	F5
Eif4ebp1	F5
P4hb	F5
Sgms2	F5
Grina	F5
Ndrg1	F5
Egln3	F5
Herpud1	F5
Serpine1	F5
Creld2	F5
Lyz2	Il13ra1
Ctss	Il13ra1
Tmsb4x	Il13ra1
Cxcl3	Il13ra1
Rpl37a	Il13ra1
Rps27a	Il13ra1
Rpl32	Il13ra1
Slpi	Il13ra1
Rps18	Il13ra1
Rpl41	Il13ra1
Rps19	Il13ra1
Rpl13	Il13ra1
Rps8	Il13ra1
Rplp1	Il13ra1
Rpl3	Il13ra1
Fcer1g	Il13ra1
Prdx6	Il13ra1
Rpl14	Il13ra1
Rgcc	Il13ra1
Rpl11	Il13ra1
Mt2	Il13ra1
Emilin2	Il13ra1
Smox	Il13ra1
Ero1l	Il13ra1
Nedd9	Il13ra1
Inhba	Il13ra1
Bnip3	Il13ra1
Fam162a	Il13ra1
Pilra	Il13ra1
Fndc3a	Il13ra1
P4hb	Il13ra1
Trem1	Il13ra1
Grina	Il13ra1
Ndrg1	Il13ra1
Tes	Il13ra1
Egln3	Il13ra1
Serpinb2	Il13ra1
Lyz2	Resf1
Ctss	Resf1
Tmsb4x	Resf1
Cxcl3	Resf1
Rpl37a	Resf1
Rps27a	Resf1
Tyrobp	Resf1
Rps29	Resf1
Rpl32	Resf1
Rps18	Resf1
Rpl41	Resf1
Rps19	Resf1
Rpl13	Resf1
Rps8	Resf1
Rplp1	Resf1
Rpl3	Resf1
Rps23	Resf1
Rpl11	Resf1
Mt2	Resf1
Ero1l	Resf1
Fndc3a	Resf1
Creld2	Resf1
Il13ra1	Resf1
Rps27a	Gm11290
Rps19	Gm11290
Creld2	Gm11290
Lyz2	Bnip3l
Ctss	Bnip3l
Cst3	Bnip3l
Tmsb4x	Bnip3l
Cxcl3	Bnip3l
Rps27a	Bnip3l
Tyrobp	Bnip3l
Rpl32	Bnip3l
Slpi	Bnip3l
Rps18	Bnip3l
Rps19	Bnip3l
Rpl13	Bnip3l
Rps8	Bnip3l
Rplp1	Bnip3l
Rpl3	Bnip3l
Prdx6	Bnip3l
Rpl14	Bnip3l
Rgcc	Bnip3l
F10	Bnip3l
Rpl11	Bnip3l
Ccr1	Bnip3l
Slc16a3	Bnip3l
Manf	Bnip3l
Mt2	Bnip3l
Emilin2	Bnip3l
Smox	Bnip3l
Ero1l	Bnip3l
Nedd9	Bnip3l
Inhba	Bnip3l
Bnip3	Bnip3l
Fam162a	Bnip3l
Higd1a	Bnip3l
Pilra	Bnip3l
Fndc3a	Bnip3l
Dnajb9	Bnip3l
Gpr141	Bnip3l
Dok2	Bnip3l
Slc2a1	Bnip3l
Eif4ebp1	Bnip3l
P4hb	Bnip3l
Sgms2	Bnip3l
Maml2	Bnip3l
Grina	Bnip3l
Ndrg1	Bnip3l
Tes	Bnip3l
Tuba1a	Bnip3l
Pfkp	Bnip3l
Egln3	Bnip3l
Snx18	Bnip3l
Herpud1	Bnip3l
Gpat3	Bnip3l
Serpine1	Bnip3l
Serpinb2	Bnip3l
Creld2	Bnip3l
Pcgf5	Bnip3l
F5	Bnip3l
Il13ra1	Bnip3l
Lyz2	Fbxl5
Tmsb4x	Fbxl5
Cxcl3	Fbxl5
Rpl37a	Fbxl5
Tyrobp	Fbxl5
Rps29	Fbxl5
Rpl32	Fbxl5
Rps19	Fbxl5
Rpl13	Fbxl5
Prdx6	Fbxl5
Rps23	Fbxl5
Mt2	Fbxl5
Inhba	Fbxl5
Bnip3	Fbxl5
Fndc3a	Fbxl5
Eif4ebp1	Fbxl5
Egln3	Fbxl5
Atf4	Fbxl5
Serpinb2	Fbxl5
Lyz2	Map2k1
Ctss	Map2k1
Cst3	Map2k1
Tmsb4x	Map2k1
Cxcl3	Map2k1
Rpl37a	Map2k1
Rpl32	Map2k1
Rps18	Map2k1
Rpl13	Map2k1
Rps8	Map2k1
Rpl3	Map2k1
Prdx6	Map2k1
Rpl14	Map2k1
F10	Map2k1
Rpl11	Map2k1
Ccr1	Map2k1
Slc16a3	Map2k1
Manf	Map2k1
Smox	Map2k1
Ero1l	Map2k1
Nedd9	Map2k1
Inhba	Map2k1
Bnip3	Map2k1
Fam162a	Map2k1
Higd1a	Map2k1
Fndc3a	Map2k1
Dnajb9	Map2k1
Slc2a1	Map2k1
Eif4ebp1	Map2k1
P4hb	Map2k1
Sgms2	Map2k1
Trem1	Map2k1
Grina	Map2k1
Ndrg1	Map2k1
Tes	Map2k1
Tuba1a	Map2k1
Pfkp	Map2k1
Egln3	Map2k1
Atf4	Map2k1
Herpud1	Map2k1
Gpat3	Map2k1
Serpine1	Map2k1
Creld2	Map2k1
Bnip3l	Map2k1
Tmsb4x	P4ha1
Tyrobp	P4ha1
Rps8	P4ha1
F10	P4ha1
Ccr1	P4ha1
Slc16a3	P4ha1
Manf	P4ha1
Mt2	P4ha1
Emilin2	P4ha1
Smox	P4ha1
Ero1l	P4ha1
Bnip3	P4ha1
Fam162a	P4ha1
Higd1a	P4ha1
Dnajb9	P4ha1
Slc2a1	P4ha1
Eif4ebp1	P4ha1
P4hb	P4ha1
Grina	P4ha1
Ndrg1	P4ha1
Tes	P4ha1
Tuba1a	P4ha1
Pfkp	P4ha1
Egln3	P4ha1
Snx18	P4ha1
Herpud1	P4ha1
Gpat3	P4ha1
Creld2	P4ha1
Bnip3l	P4ha1
Map2k1	P4ha1
Lyz2	Ssr3
Ctss	Ssr3
Cst3	Ssr3
Tmsb4x	Ssr3
Cxcl3	Ssr3
Slpi	Ssr3
Prdx6	Ssr3
Rgcc	Ssr3
F10	Ssr3
Slc16a3	Ssr3
Manf	Ssr3
Mt2	Ssr3
Emilin2	Ssr3
Smox	Ssr3
Ero1l	Ssr3
Nedd9	Ssr3
Bnip3	Ssr3
Fam162a	Ssr3
Higd1a	Ssr3
Fndc3a	Ssr3
Dnajb9	Ssr3
Gpr141	Ssr3
Dok2	Ssr3
Slc2a1	Ssr3
Eif4ebp1	Ssr3
P4hb	Ssr3
Sgms2	Ssr3
Trem1	Ssr3
Grina	Ssr3
Ndrg1	Ssr3
Tes	Ssr3
Tuba1a	Ssr3
Pfkp	Ssr3
Egln3	Ssr3
Snx18	Ssr3
Herpud1	Ssr3
Gpat3	Ssr3
Serpine1	Ssr3
Creld2	Ssr3
F5	Ssr3
Resf1	Ssr3
Bnip3l	Ssr3
P4ha1	Ssr3
Lyz2	Selenbp1
Ctss	Selenbp1
Cst3	Selenbp1
Tmsb4x	Selenbp1
Cxcl3	Selenbp1
Rpl37a	Selenbp1
Rps27a	Selenbp1
Tyrobp	Selenbp1
Rpl32	Selenbp1
Rps18	Selenbp1
Rpl41	Selenbp1
Rps19	Selenbp1
Rpl13	Selenbp1
Rps8	Selenbp1
Rplp1	Selenbp1
Rpl3	Selenbp1
Prdx6	Selenbp1
Rpl14	Selenbp1
Rgcc	Selenbp1
Rps23	Selenbp1
F10	Selenbp1
Rpl11	Selenbp1
Slc16a3	Selenbp1
Manf	Selenbp1
Mt2	Selenbp1
Emilin2	Selenbp1
Smox	Selenbp1
Ero1l	Selenbp1
Nedd9	Selenbp1
Bnip3	Selenbp1
Fam162a	Selenbp1
Higd1a	Selenbp1
Pilra	Selenbp1
Fndc3a	Selenbp1
Dnajb9	Selenbp1
Gpr141	Selenbp1
Slc2a1	Selenbp1
Eif4ebp1	Selenbp1
P4hb	Selenbp1
Sgms2	Selenbp1
Maml2	Selenbp1
Trem1	Selenbp1
Grina	Selenbp1
Ndrg1	Selenbp1
Tes	Selenbp1
Bst1	Selenbp1
Pfkp	Selenbp1
Egln3	Selenbp1
Atf4	Selenbp1
Snx18	Selenbp1
Herpud1	Selenbp1
Gpat3	Selenbp1
Serpine1	Selenbp1
Serpinb2	Selenbp1
Creld2	Selenbp1
Pcgf5	Selenbp1
F5	Selenbp1
Il13ra1	Selenbp1
Bnip3l	Selenbp1
Fbxl5	Selenbp1
Map2k1	Selenbp1
P4ha1	Selenbp1
Ssr3	Selenbp1
Ctss	Slbp
Tmsb4x	Slbp
Rpl13	Slbp
Manf	Slbp
Mt2	Slbp
Ero1l	Slbp
Inhba	Slbp
Bnip3	Slbp
Fam162a	Slbp
Higd1a	Slbp
Fndc3a	Slbp
Dnajb9	Slbp
Sgms2	Slbp
Ndrg1	Slbp
Egln3	Slbp
Gpat3	Slbp
Serpine1	Slbp
Serpinb2	Slbp
Creld2	Slbp
Bnip3l	Slbp
Map2k1	Slbp
P4ha1	Slbp
Ssr3	Slbp
Ctss	Rbpms
Tmsb4x	Rbpms
Cxcl3	Rbpms
Rpl3	Rbpms
Rgcc	Rbpms
F10	Rbpms
Manf	Rbpms
Ero1l	Rbpms
Nedd9	Rbpms
Bnip3	Rbpms
Fam162a	Rbpms
Trem1	Rbpms
Grina	Rbpms
Serpine1	Rbpms
Lyz2	Gadd45a
Ctss	Gadd45a
Cst3	Gadd45a
Tmsb4x	Gadd45a
Cxcl3	Gadd45a
Tyrobp	Gadd45a
Rps18	Gadd45a
Rps4x	Gadd45a
Rps19	Gadd45a
Rpl13	Gadd45a
Rps8	Gadd45a
Rplp1	Gadd45a
Fcer1g	Gadd45a
Prdx6	Gadd45a
Rpl14	Gadd45a
Rgcc	Gadd45a
F10	Gadd45a
Slc16a3	Gadd45a
Manf	Gadd45a
Mt2	Gadd45a
Ero1l	Gadd45a
Bnip3	Gadd45a
Fam162a	Gadd45a
Fndc3a	Gadd45a
Dnajb9	Gadd45a
Slc2a1	Gadd45a
P4hb	Gadd45a
Sgms2	Gadd45a
Maml2	Gadd45a
Grina	Gadd45a
Ndrg1	Gadd45a
Egln3	Gadd45a
Atf4	Gadd45a
Herpud1	Gadd45a
Gpat3	Gadd45a
Serpinb2	Gadd45a
Creld2	Gadd45a
Resf1	Gadd45a
Bnip3l	Gadd45a
P4ha1	Gadd45a
Ssr3	Gadd45a
Selenbp1	Gadd45a
Lyz2	Slc23a2
Tmsb4x	Slc23a2
Cxcl3	Slc23a2
Rpl37a	Slc23a2
Tyrobp	Slc23a2
Rpl32	Slc23a2
Rps18	Slc23a2
Rps4x	Slc23a2
Rps19	Slc23a2
Rps8	Slc23a2
Fcer1g	Slc23a2
Mt2	Slc23a2
Smox	Slc23a2
Ero1l	Slc23a2
Inhba	Slc23a2
Bnip3	Slc23a2
Fam162a	Slc23a2
Dok2	Slc23a2
Slc2a1	Slc23a2
P4hb	Slc23a2
Trem1	Slc23a2
Grina	Slc23a2
Ndrg1	Slc23a2
Bst1	Slc23a2
Tuba1a	Slc23a2
Serpinb2	Slc23a2
Bnip3l	Slc23a2
Lyz2	Mthfd1l
Ctss	Mthfd1l
Tmsb4x	Mthfd1l
Cxcl3	Mthfd1l
Rps19	Mthfd1l
Prdx6	Mthfd1l
Rgcc	Mthfd1l
F10	Mthfd1l
Slc16a3	Mthfd1l
Manf	Mthfd1l
Mt2	Mthfd1l
Emilin2	Mthfd1l
Smox	Mthfd1l
Ero1l	Mthfd1l
Bnip3	Mthfd1l
Higd1a	Mthfd1l
Dnajb9	Mthfd1l
Gpr141	Mthfd1l
Slc2a1	Mthfd1l
P4hb	Mthfd1l
Sgms2	Mthfd1l
Trem1	Mthfd1l
Grina	Mthfd1l
Ndrg1	Mthfd1l
Tes	Mthfd1l
Pfkp	Mthfd1l
Egln3	Mthfd1l
Gpat3	Mthfd1l
Creld2	Mthfd1l
Bnip3l	Mthfd1l
Selenbp1	Mthfd1l
Gadd45a	Mthfd1l
Ctss	Pdia4
Cst3	Pdia4
Tmsb4x	Pdia4
Cxcl3	Pdia4
Tyrobp	Pdia4
Rps19	Pdia4
Rps8	Pdia4
Rgcc	Pdia4
Rpl11	Pdia4
Slc16a3	Pdia4
Manf	Pdia4
Mt2	Pdia4
Emilin2	Pdia4
Smox	Pdia4
Ero1l	Pdia4
Nedd9	Pdia4
Inhba	Pdia4
Bnip3	Pdia4
Fam162a	Pdia4
Higd1a	Pdia4
Pilra	Pdia4
Fndc3a	Pdia4
Dnajb9	Pdia4
Slc2a1	Pdia4
Eif4ebp1	Pdia4
P4hb	Pdia4
Grina	Pdia4
Ndrg1	Pdia4
Tes	Pdia4
Tuba1a	Pdia4
Pfkp	Pdia4
Egln3	Pdia4
Snx18	Pdia4
Herpud1	Pdia4
Gpat3	Pdia4
Creld2	Pdia4
F5	Pdia4
Bnip3l	Pdia4
P4ha1	Pdia4
Ssr3	Pdia4
Selenbp1	Pdia4
Cst3	Uso1
Tyrobp	Uso1
Slc16a3	Uso1
Manf	Uso1
Smox	Uso1
Ero1l	Uso1
Dnajb9	Uso1
Pfkp	Uso1
Atf4	Uso1
Herpud1	Uso1
Pcgf5	Uso1
Bnip3l	Uso1
Ssr3	Uso1
Pdia4	Uso1
Cst3	Tmem248
Tmsb4x	Tmem248
Tyrobp	Tmem248
Fcer1g	Tmem248
F10	Tmem248
Slc16a3	Tmem248
Manf	Tmem248
Mt2	Tmem248
Smox	Tmem248
Ero1l	Tmem248
Bnip3	Tmem248
Higd1a	Tmem248
Fndc3a	Tmem248
Dnajb9	Tmem248
Dok2	Tmem248
Eif4ebp1	Tmem248
P4hb	Tmem248
Sgms2	Tmem248
Trem1	Tmem248
Grina	Tmem248
Ndrg1	Tmem248
Pfkp	Tmem248
Egln3	Tmem248
Herpud1	Tmem248
Gpat3	Tmem248
Creld2	Tmem248
F5	Tmem248
Bnip3l	Tmem248
P4ha1	Tmem248
Ssr3	Tmem248
Uso1	Tmem248
Lyz2	Me2
Ctss	Me2
Cst3	Me2
Tmsb4x	Me2
Cxcl3	Me2
Prdx6	Me2
Rgcc	Me2
Slc16a3	Me2
Manf	Me2
Mt2	Me2
Emilin2	Me2
Smox	Me2
Ero1l	Me2
Nedd9	Me2
Bnip3	Me2
Fam162a	Me2
Higd1a	Me2
Fndc3a	Me2
Dnajb9	Me2
Gpr141	Me2
Slc2a1	Me2
Eif4ebp1	Me2
P4hb	Me2
Grina	Me2
Ndrg1	Me2
Pfkp	Me2
Egln3	Me2
Herpud1	Me2
Gpat3	Me2
Creld2	Me2
Pcgf5	Me2
F5	Me2
Bnip3l	Me2
Ssr3	Me2
Selenbp1	Me2
Slbp	Me2
Mthfd1l	Me2
Pdia4	Me2
Uso1	Me2
Tmem248	Me2
Lyz2	Slfn4
Tmsb4x	Slfn4
Rps27a	Slfn4
Rpl32	Slfn4
Slpi	Slfn4
Rps18	Slfn4
Rps4x	Slfn4
Rps19	Slfn4
Rpl13	Slfn4
Rps8	Slfn4
Rplp1	Slfn4
Rpl3	Slfn4
Prdx6	Slfn4
Rpl14	Slfn4
Rps23	Slfn4
F10	Slfn4
Rpl11	Slfn4
Slc16a3	Slfn4
Smox	Slfn4
Ero1l	Slfn4
Inhba	Slfn4
Bnip3	Slfn4
Fam162a	Slfn4
Higd1a	Slfn4
Fndc3a	Slfn4
Dnajb9	Slfn4
Slc2a1	Slfn4
Eif4ebp1	Slfn4
P4hb	Slfn4
Grina	Slfn4
Tes	Slfn4
Pfkp	Slfn4
Egln3	Slfn4
Gpat3	Slfn4
Serpine1	Slfn4
Serpinb2	Slfn4
Il13ra1	Slfn4
Bnip3l	Slfn4
Map2k1	Slfn4
Lyz2	Tlr4
Ctss	Tlr4
Cst3	Tlr4
Tmsb4x	Tlr4
Cxcl3	Tlr4
Rpl37a	Tlr4
Rps27a	Tlr4
Rpl32	Tlr4
Rps18	Tlr4
Rps4x	Tlr4
Rpl41	Tlr4
Rps19	Tlr4
Rpl13	Tlr4
Rps8	Tlr4
Rplp1	Tlr4
Rpl3	Tlr4
Fcer1g	Tlr4
Prdx6	Tlr4
Rgcc	Tlr4
Rpl11	Tlr4
Manf	Tlr4
Mt2	Tlr4
Smox	Tlr4
Ero1l	Tlr4
Inhba	Tlr4
Bnip3	Tlr4
Pilra	Tlr4
Fndc3a	Tlr4
Dnajb9	Tlr4
Slc2a1	Tlr4
P4hb	Tlr4
Maml2	Tlr4
Trem1	Tlr4
Grina	Tlr4
Ndrg1	Tlr4
Egln3	Tlr4
Atf4	Tlr4
Serpine1	Tlr4
Serpinb2	Tlr4
Il13ra1	Tlr4
Ssr3	Tlr4
Selenbp1	Tlr4
Slc23a2	Tlr4
Pdia4	Tlr4
Ctss	Esyt2
Tmsb4x	Esyt2
Cxcl3	Esyt2
Rps29	Esyt2
Rpl41	Esyt2
Rplp1	Esyt2
Fcer1g	Esyt2
Rgcc	Esyt2
Rpl11	Esyt2
Manf	Esyt2
Mt2	Esyt2
Ero1l	Esyt2
Inhba	Esyt2
Bnip3	Esyt2
Fndc3a	Esyt2
P4hb	Esyt2
Sgms2	Esyt2
Ndrg1	Esyt2
Creld2	Esyt2
F5	Esyt2
Resf1	Esyt2
Selenbp1	Esyt2
Tlr4	Esyt2
Lyz2	Impa2
Ctss	Impa2
Cst3	Impa2
Tmsb4x	Impa2
Cxcl3	Impa2
Rpl37a	Impa2
Rps27a	Impa2
Rps19	Impa2
Rpl13	Impa2
Rps8	Impa2
Rplp1	Impa2
Fcer1g	Impa2
Prdx6	Impa2
Rgcc	Impa2
Rps23	Impa2
F10	Impa2
Ccr1	Impa2
Slc16a3	Impa2
Manf	Impa2
Mt2	Impa2
Emilin2	Impa2
Smox	Impa2
Ero1l	Impa2
Nedd9	Impa2
Inhba	Impa2
Bnip3	Impa2
Fam162a	Impa2
Higd1a	Impa2
Pilra	Impa2
Fndc3a	Impa2
Dnajb9	Impa2
Gpr141	Impa2
Slc2a1	Impa2
Eif4ebp1	Impa2
P4hb	Impa2
Sgms2	Impa2
Trem1	Impa2
Grina	Impa2
Ndrg1	Impa2
Tes	Impa2
Bst1	Impa2
Pfkp	Impa2
Egln3	Impa2
Atf4	Impa2
Herpud1	Impa2
Gpat3	Impa2
Serpinb2	Impa2
Creld2	Impa2
Il13ra1	Impa2
Bnip3l	Impa2
Map2k1	Impa2
P4ha1	Impa2
Selenbp1	Impa2
Mthfd1l	Impa2
Pdia4	Impa2
Slfn4	Impa2
Lyz2	Gbe1
Ctss	Gbe1
Cst3	Gbe1
Tmsb4x	Gbe1
Cxcl3	Gbe1
Tyrobp	Gbe1
Rpl32	Gbe1
Slpi	Gbe1
Rpl13	Gbe1
Rps8	Gbe1
Prdx6	Gbe1
Rpl14	Gbe1
Rgcc	Gbe1
F10	Gbe1
Rpl11	Gbe1
Slc16a3	Gbe1
Manf	Gbe1
Mt2	Gbe1
Emilin2	Gbe1
Smox	Gbe1
Ero1l	Gbe1
Nedd9	Gbe1
Inhba	Gbe1
Bnip3	Gbe1
Fam162a	Gbe1
Higd1a	Gbe1
Pilra	Gbe1
Fndc3a	Gbe1
Dnajb9	Gbe1
Gpr141	Gbe1
Dok2	Gbe1
Slc2a1	Gbe1
Eif4ebp1	Gbe1
P4hb	Gbe1
Sgms2	Gbe1
Trem1	Gbe1
Grina	Gbe1
Ndrg1	Gbe1
Tes	Gbe1
Tuba1a	Gbe1
Pfkp	Gbe1
Egln3	Gbe1
Herpud1	Gbe1
Gpat3	Gbe1
Serpine1	Gbe1
Creld2	Gbe1
F5	Gbe1
Bnip3l	Gbe1
Map2k1	Gbe1
P4ha1	Gbe1
Ssr3	Gbe1
Selenbp1	Gbe1
Slbp	Gbe1
Gadd45a	Gbe1
Mthfd1l	Gbe1
Pdia4	Gbe1
Uso1	Gbe1
Tmem248	Gbe1
Me2	Gbe1
Tlr4	Gbe1
Impa2	Gbe1
Lyz2	Fbxo28
Ctss	Fbxo28
Cst3	Fbxo28
Tmsb4x	Fbxo28
Tyrobp	Fbxo28
Fcer1g	Fbxo28
Prdx6	Fbxo28
Rgcc	Fbxo28
F10	Fbxo28
Ccr1	Fbxo28
Slc16a3	Fbxo28
Manf	Fbxo28
Emilin2	Fbxo28
Smox	Fbxo28
Ero1l	Fbxo28
Inhba	Fbxo28
Bnip3	Fbxo28
Fam162a	Fbxo28
Higd1a	Fbxo28
Fndc3a	Fbxo28
Dnajb9	Fbxo28
Gpr141	Fbxo28
Slc2a1	Fbxo28
P4hb	Fbxo28
Sgms2	Fbxo28
Grina	Fbxo28
Ndrg1	Fbxo28
Egln3	Fbxo28
Atf4	Fbxo28
Herpud1	Fbxo28
Gpat3	Fbxo28
Serpinb2	Fbxo28
Creld2	Fbxo28
Pcgf5	Fbxo28
Bnip3l	Fbxo28
Ssr3	Fbxo28
Selenbp1	Fbxo28
Gadd45a	Fbxo28
Slc23a2	Fbxo28
Mthfd1l	Fbxo28
Tmem248	Fbxo28
Me2	Fbxo28
Gbe1	Fbxo28
Rps29	Atp9b
Rps19	Atp9b
Prdx6	Atp9b
Manf	Atp9b
Ero1l	Atp9b
Inhba	Atp9b
Fam162a	Atp9b
P4hb	Atp9b
Tes	Atp9b
Pfkp	Atp9b
Egln3	Atp9b
F5	Atp9b
Selenbp1	Atp9b
Mthfd1l	Atp9b
Tmsb4x	Nop58
Cxcl3	Nop58
Rpl32	Nop58
Slpi	Nop58
Rps18	Nop58
Rps4x	Nop58
Rpl41	Nop58
Rpl13	Nop58
Rps8	Nop58
Rplp1	Nop58
Rpl3	Nop58
Rpl14	Nop58
Rpl11	Nop58
Slc16a3	Nop58
Smox	Nop58
Ero1l	Nop58
Inhba	Nop58
Bnip3	Nop58
Fam162a	Nop58
Pilra	Nop58
Fndc3a	Nop58
Dok2	Nop58
Eif4ebp1	Nop58
Trem1	Nop58
Grina	Nop58
Ndrg1	Nop58
Tuba1a	Nop58
Bnip3l	Nop58
Ssr3	Nop58
Gadd45a	Nop58
Ctss	Nucb2
Tmsb4x	Nucb2
