V1	V2
Ctss	Rpl11
Cst3	Rpl11
Tmsb4x	Rpl11
Cxcl3	Rpl11
Rpl37a	Rpl11
Rps27a	Rpl11
Tyrobp	Rpl11
Rps29	Rpl11
Rpl32	Rpl11
Slpi	Rpl11
Rps18	Rpl11
Rps4x	Rpl11
Rpl41	Rpl11
Rps19	Rpl11
Rpl13	Rpl11
Rps8	Rpl11
Rplp1	Rpl11
Rpl3	Rpl11
Fcer1g	Rpl11
Prdx6	Rpl11
Rpl14	Rpl11
Rgcc	Rpl11
Rps23	Rpl11
F10	Rpl11
Cst3	Ccr1
Tmsb4x	Ccr1
Cxcl3	Ccr1
Rpl37a	Ccr1
Rps27a	Ccr1
Rpl32	Ccr1
Rpl41	Ccr1
Rps19	Ccr1
Rpl13	Ccr1
Rps8	Ccr1
Rplp1	Ccr1
Rpl3	Ccr1
Prdx6	Ccr1
Rpl14	Ccr1
Rgcc	Ccr1
Rps23	Ccr1
F10	Ccr1
Rpl11	Ccr1
Lyz2	Slc16a3
Ctss	Slc16a3
Cst3	Slc16a3
Tmsb4x	Slc16a3
Cxcl3	Slc16a3
Rpl37a	Slc16a3
Rps27a	Slc16a3
Tyrobp	Slc16a3
Rpl32	Slc16a3
Slpi	Slc16a3
Rps18	Slc16a3
Rpl41	Slc16a3
Rps19	Slc16a3
Rpl13	Slc16a3
Rps8	Slc16a3
Rplp1	Slc16a3
Rpl3	Slc16a3
Prdx6	Slc16a3
Rpl14	Slc16a3
Rgcc	Slc16a3
F10	Slc16a3
Rpl11	Slc16a3
Ccr1	Slc16a3
Lyz2	Manf
Ctss	Manf
Cst3	Manf
Tmsb4x	Manf
Cxcl3	Manf
Tyrobp	Manf
Slpi	Manf
Prdx6	Manf
Rgcc	Manf
F10	Manf
Ccr1	Manf
Slc16a3	Manf
Lyz2	Mt2
Ctss	Mt2
Cst3	Mt2
Tmsb4x	Mt2
Cxcl3	Mt2
Rpl37a	Mt2
Rps27a	Mt2
Tyrobp	Mt2
Rps29	Mt2
Rpl32	Mt2
Slpi	Mt2
Rps18	Mt2
Rps4x	Mt2
Rpl41	Mt2
Rps19	Mt2
Rpl13	Mt2
Rps8	Mt2
Rplp1	Mt2
Rpl3	Mt2
Fcer1g	Mt2
Prdx6	Mt2
Rpl14	Mt2
Rgcc	Mt2
Rps23	Mt2
F10	Mt2
Rpl11	Mt2
Slc16a3	Mt2
Manf	Mt2
Lyz2	Emilin2
Cst3	Emilin2
Tmsb4x	Emilin2
Cxcl3	Emilin2
Rpl37a	Emilin2
Slpi	Emilin2
Rplp1	Emilin2
Prdx6	Emilin2
Rpl14	Emilin2
Rgcc	Emilin2
F10	Emilin2
Rpl11	Emilin2
Ccr1	Emilin2
Slc16a3	Emilin2
Manf	Emilin2
Mt2	Emilin2
Lyz2	Smox
Ctss	Smox
Cst3	Smox
Tmsb4x	Smox
Cxcl3	Smox
Rpl37a	Smox
Rps27a	Smox
Tyrobp	Smox
Rpl32	Smox
Slpi	Smox
Rps18	Smox
Rps4x	Smox
Rpl41	Smox
Rps19	Smox
Rpl13	Smox
Rps8	Smox
Rplp1	Smox
Rpl3	Smox
Prdx6	Smox
Rpl14	Smox
Rgcc	Smox
Rps23	Smox
F10	Smox
Rpl11	Smox
Ccr1	Smox
Slc16a3	Smox
Manf	Smox
Mt2	Smox
Emilin2	Smox
Lyz2	Ero1l
Ctss	Ero1l
Cst3	Ero1l
Tmsb4x	Ero1l
Cxcl3	Ero1l
Rpl37a	Ero1l
Rps27a	Ero1l
Tyrobp	Ero1l
Rpl32	Ero1l
Slpi	Ero1l
Rps18	Ero1l
Rps4x	Ero1l
Rpl41	Ero1l
Rps19	Ero1l
Rpl13	Ero1l
Rps8	Ero1l
Rplp1	Ero1l
Rpl3	Ero1l
Fcer1g	Ero1l
Prdx6	Ero1l
Rpl14	Ero1l
Rgcc	Ero1l
F10	Ero1l
Rpl11	Ero1l
Ccr1	Ero1l
Slc16a3	Ero1l
Manf	Ero1l
Mt2	Ero1l
Emilin2	Ero1l
Smox	Ero1l
Lyz2	Nedd9
Ctss	Nedd9
Cst3	Nedd9
Tmsb4x	Nedd9
Cxcl3	Nedd9
Rps27a	Nedd9
Rpl32	Nedd9
Slpi	Nedd9
Rps18	Nedd9
Rps19	Nedd9
Rpl3	Nedd9
Prdx6	Nedd9
Rpl14	Nedd9
Rpl11	Nedd9
Ccr1	Nedd9
Slc16a3	Nedd9
Mt2	Nedd9
Emilin2	Nedd9
Smox	Nedd9
Ero1l	Nedd9
Lyz2	Inhba
Ctss	Inhba
Cst3	Inhba
Tmsb4x	Inhba
Cxcl3	Inhba
Rpl37a	Inhba
Rps27a	Inhba
Tyrobp	Inhba
Rps29	Inhba
Rpl32	Inhba
Slpi	Inhba
Rps18	Inhba
Rps4x	Inhba
Rpl41	Inhba
Rps19	Inhba
Rpl13	Inhba
Rps8	Inhba
Rplp1	Inhba
Rpl3	Inhba
Fcer1g	Inhba
Prdx6	Inhba
Rpl14	Inhba
Rgcc	Inhba
Rps23	Inhba
F10	Inhba
Rpl11	Inhba
Ccr1	Inhba
Slc16a3	Inhba
Manf	Inhba
Mt2	Inhba
Smox	Inhba
Ero1l	Inhba
Lyz2	Bnip3
Ctss	Bnip3
Cst3	Bnip3
Tmsb4x	Bnip3
Cxcl3	Bnip3
Rpl37a	Bnip3
Rps27a	Bnip3
Tyrobp	Bnip3
Rps29	Bnip3
Rpl32	Bnip3
Slpi	Bnip3
Rps18	Bnip3
Rps4x	Bnip3
Rpl41	Bnip3
Rps19	Bnip3
Rpl13	Bnip3
Rps8	Bnip3
Rplp1	Bnip3
Rpl3	Bnip3
Fcer1g	Bnip3
Prdx6	Bnip3
Rpl14	Bnip3
Rgcc	Bnip3
Rps23	Bnip3
F10	Bnip3
Rpl11	Bnip3
Ccr1	Bnip3
Slc16a3	Bnip3
Manf	Bnip3
Mt2	Bnip3
Emilin2	Bnip3
Smox	Bnip3
Ero1l	Bnip3
Nedd9	Bnip3
Inhba	Bnip3
Lyz2	Fam162a
Ctss	Fam162a
Cst3	Fam162a
Tmsb4x	Fam162a
Cxcl3	Fam162a
Tyrobp	Fam162a
Prdx6	Fam162a
Rpl14	Fam162a
Rgcc	Fam162a
