	ad	density	cc	spath	eigencentr	betwcentr
drug_200	-573.5	-992.5	-718.5	1236	-859.5	1150.5
drug_201	-561	-655	746.5	1070.5	-644.5	1218.5
drug_202	1040	991	-578.5	1529.5	-855	851.5
drug_203	-550.5	-590.5	723.5	1058.5	-588	1214.5
drug_204	1057	1017	-640.5	1480.5	-890	-871
drug_205	-606	-631	809.5	1311.5	781.5	1444.5
drug_206	1053	1026	-493.5	1429	-693	820
drug_207	-655	-565	701.5	1323.5	-654	1338.5
drug_208	931	1012	905.5	734.5	1038.5	772.5
drug_209	837	893	-772.5	796	831	-917
drug_21	570.5	836.5	781.5	1167	1032	976
drug_210	1025	980	-690.5	1498.5	-860	-954
drug_211	842	904	-832.5	797	-1004	-1102
drug_212	-512	-665	-817.5	1226	-726	1071
drug_213	-444.5	-432.5	647.5	1390.5	590.5	1249.5
drug_214	1008	967	-632.5	1537.5	-792	-957
drug_215	767	800	770.5	745	871	922
drug_216	1023	984	-535.5	1474.5	-839	864.5
drug_217	1035	998	-597.5	1495.5	-920	-863
drug_218	763	754	743.5	-920	826.5	959.5
drug_219	1030	995	-495.5	1473.5	-806	868.5
drug_22	-1037	-1211	-1238.5	-970	-989	-1141
drug_220	1055	1031	-543.5	1428	-794	-853
drug_221	1048	1004	-500.5	1455.5	-557	847.5
drug_222	1089	1090	-695.5	1404	-1034	-808
drug_223	1061	1015	-637.5	1474.5	-683	819.5
drug_224	471	553	749.5	1205	682	946
drug_225	732	724	698.5	971	810	842
drug_226	770	796	-613.5	907	820	930
drug_227	-498.5	-533.5	-681.5	1304.5	-795	1290.5
drug_228	796	801	700.5	785	897	916
drug_229	942	923	1218.5	1387.5	1083.5	1617.5
drug_23	407	-891.5	-903.5	886	-874	-938
drug_230	1041	993	-638.5	1530.5	-927	856.5
drug_231	627.5	901.5	-546.5	-1424	922	-961
drug_232	804.5	1100.5	1181.5	1464.5	1413	1383.5
drug_233	275.5	562.5	-542.5	1430.5	760	994.5
drug_234	674.5	944.5	-588.5	-1382	-946	-1019
drug_235	711.5	1000.5	665.5	1053.5	1206	-975
drug_236	689.5	953.5	-547.5	-1373	883	-995
drug_237	598	859	-533	-1361.5	868.5	-1012.5
drug_238	-766	540	623.5	1408	-868	1067
drug_239	458.5	729.5	-562.5	-1386	-985	-1018
drug_24	-815.5	-1282.5	-1103.5	653	-1008	-607
drug_240	-672	688.5	754.5	-1282	914	976.5
drug_241	-422.5	631.5	543.5	1412.5	-868	985.5
drug_242	707.5	992.5	643.5	-1421	1143	-972
drug_243	-333.5	615	613.5	-1436	-818	930.5
drug_244	651	601	750.5	-1183	-892	1145
drug_245	-766	979	672.5	-1134	972	-962
drug_246	-368.5	590	522.5	1468.5	709.5	978.5
drug_247	-542	730.5	719.5	1383.5	924	1060.5
drug_248	671.5	979.5	629.5	-1417	1117	-969
drug_249	541.5	833.5	-554.5	1437.5	798	-977
drug_25	1249	1338	-762	1191	-671.5	-960.5
drug_250	224.5	635.5	551.5	1402.5	872	1021.5
drug_251	646.5	937.5	-582	-1418.5	1013	-1011.5
drug_252	337.5	679.5	601.5	-1393	-798	951.5
drug_253	-210	467.5	-537.5	1372.5	750	1031.5
drug_254	665.5	967.5	-588.5	-1356	1043	-978
drug_255	312	612	633.5	1438.5	-924	1057.5
drug_256	668.5	959.5	-582	-1283.5	964	-995.5
drug_257	686.5	978.5	-536.5	-1165	951	-980
drug_258	337	647	697.5	-1419	-881	987.5
drug_259	-621.5	-764.5	694.5	1333.5	837.5	971.5
drug_26	1259	1347	-762	1182	-796.5	-1063.5
drug_260	832	873	636.5	-1068	863	805
drug_261	825	-1008.5	775.5	-1006	956	843.5
drug_262	-520.5	-864.5	906.5	-1355	823	1105.5
drug_263	837	866	728.5	-968	928	832.5
drug_264	890	938	668.5	-1317	911.5	805.5
drug_265	690	-757	919.5	-1109	805	968.5
drug_266	818	-1008	718.5	-1247	868	840.5
drug_267	570	-676	606.5	-1083	542.5	929
drug_268	1103.5	-1150	569.5	-1336	976.5	845.5
drug_269	-495	-807	658.5	-832	-596	1020.5
drug_27	1248	1337	-762	1186	-752.5	-945.5
drug_270	820	823	-626.5	-1047	696	-934
drug_271	860	896	1063.5	-1193	938	923
drug_272	819	-864.5	-635.5	-1053	804	821.5
drug_273	-423	-518	709.5	1156.5	638	1310.5
drug_274	831	841	644.5	-979	795	825.5
drug_275	866	909	571.5	-1254	862.5	782
drug_276	503	-581	902.5	-1094.5	654	1146.5
drug_277	829	851	632.5	-1289.5	895	831.5
drug_278	611	-920	-956.5	-1111	660.5	938
drug_279	935	952	885.5	-805	911	784
drug_28	809	924	838.5	-875.5	962	-846.5
drug_280	500.5	535.5	651.5	-1170	534	996
drug_281	687	824	969.5	-1063	883	978
drug_282	941	956	689.5	-719	931.5	-828
drug_283	750	-862	725.5	-1223	842	922.5
drug_284	523	697	882.5	-976	770.5	990
drug_285	-1381.5	-1208.5	1015.5	-1612	1134.5	1511.5
drug_286	1152	-1314	886.5	-1245	1189.5	900.5
drug_287	948	-1382.5	-982.5	-1292	912.5	1021.5
drug_288	-684	-758	792.5	-956	-781	1021.5
drug_289	1257	-1455	-1233.5	-1075	1228	-339
drug_29	489	749	865.5	824	957	1150
drug_290	984	994	936.5	-638.5	1089	-1165.5
drug_291	929	947	831.5	-861.5	963	-1027.5
drug_292	1040.5	1066.5	974.5	-1105	1185.5	-1115
drug_293	1012	1031	908.5	-933.5	1127	-1218
drug_294	1048.5	1114.5	998.5	-805	1240.5	-1136
drug_295	1045.5	1031.5	944.5	-850	1095.5	-1221
drug_296	1328	1340	1134.5	-716	1368	-1167
drug_297	1312.5	1331.5	1133.5	-1055	1395.5	-1197
drug_298	-922	899	787.5	-701	897	-1175
drug_299	1391.5	1402.5	1220.5	881.5	1492.5	1021.5
drug_3	-1174	-1240	-1010.5	991.5	959.5	878.5
drug_30	1241	1329	-794.5	1207	-1082	-905
drug_300	-994.5	1019	938.5	630	1034	795
drug_301	-975	1010.5	978.5	-826	829	-1124
drug_302	978.5	1016.5	830.5	694.5	1006.5	-1016
drug_303	1265.5	1291.5	1120.5	-837	1380.5	-1176
drug_304	990	1021	939.5	-757	1099	-1185
drug_305	899.5	1002.5	941.5	679.5	1017.5	-1065
drug_306	982	1039	922.5	-700.5	1056	-1288.5
drug_307	938	1015	952.5	-888	1015	-1262
drug_308	973	1033	994.5	576	1144	-1186.5
