ad	density	cc	spath	eigencentr	betwcentr
drug_128	-659	-775	-744	-777	-862.5	-762
drug_129	-659	-775	-744	-777	-737.5	-762
drug_13	579.5	-421	-544.5	430.5	-530.5	-988.5
drug_130	-505	-562	-646	-596	-658.5	-958
drug_131	-659	-775	-744	-777	-750.5	-762
drug_132	-659	-775	-744	-777	-791	-762
drug_133	-659	-775	-744	-777	-797	-762
drug_134	-659	-775	-744	-777	-716.5	-762
drug_135	-525	-584	-594.5	-629.5	-550.5	-606.5
drug_136	-659	-775	-744	-777	-737.5	-762
drug_137	-525	-584	-594.5	-629.5	-624.5	-606.5
drug_138	-659	-775	-744	-777	-887	-762
drug_139	-573	-620	599.5	-643.5	-729	-967.5
drug_14	-529.5	-537.5	-536.5	244.5	-540	-477.5
drug_140	-659	-775	-744	-777	-771.5	-762
drug_141	-525	-584	-594.5	-629.5	-676.5	-606.5
drug_142	-904.5	-876.5	-826	-889.5	-622	-857
drug_143	-1050	-888	-956	-918	-685.5	-673
drug_144	-935.5	-870.5	-961	-895	-870.5	-669
drug_145	-1067.5	-1065.5	-1050.5	-1067.5	-1004	-1050.5
drug_146	-1044	-1002	-1016.5	-1007.5	-909	-870.5
drug_147	-818.5	-610.5	612	-653.5	-624	607
drug_148	-1044	-1002	-1016.5	-1007.5	-1038	-870.5
drug_149	-1044	-1002	-1016.5	-1007.5	-913	-870.5
drug_15	530.5	-561.5	-571.5	-561.5	-568.5	-955.5
drug_150	-966.5	658	-872	-694	-702.5	648
drug_151	-966.5	658	-872	-694	-721.5	648
drug_152	605.5	625.5	642.5	-580.5	630.5	590.5
drug_153	-751.5	642	665	-663.5	651	-652
drug_154	-818.5	-610.5	612	-653.5	583.5	607
drug_155	-1044	-1002	-1016.5	-1007.5	-932.5	-870.5
drug_156	-805.5	-683.5	-849.5	-691.5	-633.5	-618.5
drug_157	568.5	556.5	626	-555	579.5	610
drug_158	605.5	625.5	642.5	-580.5	561.5	590.5
drug_159	-984	672.5	-869	-874.5	682	666
drug_16	530.5	-561.5	-571.5	-561.5	-570	-955.5
drug_160	-1044	-1002	-1016.5	-1007.5	-966.5	-870.5
drug_161	-818.5	-610.5	612	-653.5	637.5	607
drug_162	-935.5	-870.5	-961	-895	-873.5	-669
drug_163	-1044	-1002	-1016.5	-1007.5	-1038	-870.5
drug_164	-935.5	-870.5	-961	-895	-821.5	-669
drug_165	-525	-584	-620	-614	-564	-579
drug_166	-1044	-1002	-1016.5	-1007.5	-932.5	-870.5
drug_167	-1065	-1080	-1075	-1077	-1133.5	-1059
drug_168	-1044	-1002	-1016.5	-1007.5	-966.5	-870.5
drug_169	-935.5	-870.5	-961	-895	-817	-669
drug_17	642.5	705.5	766.5	728.5	-661	544.5
drug_170	-1067.5	-1065.5	-1050.5	-1067.5	-1078	-1050.5
drug_171	812.5	840.5	865	924	974.5	807
drug_172	-585.5	-660.5	-625	-664	-658	685
drug_173	-635	-608	-572.5	416.5	-384	402.5
drug_174	-493	473	645.5	486.5	574.5	393.5
drug_175	-585.5	-660.5	-625	-664	-624.5	685
drug_176	-527	406.5	-560.5	-578.5	235.5	768.5
drug_177	922	926	672	956	1003.5	832
drug_178	-585.5	-660.5	-625	-664	-624.5	685
drug_179	-585.5	-660.5	-625	-664	-624.5	685
drug_18	530.5	-561.5	-571.5	-561.5	-575.5	-955.5
drug_180	930	928	887	961	1030	914
drug_181	742	441	402	421	387	420
drug_182	-585.5	-660.5	-625	-664	-658	685
drug_183	-635	-608	-572.5	416.5	-482	402.5
drug_184	-527	406.5	-560.5	-578.5	-511	768.5
drug_185	642.5	705.5	766.5	728.5	-656.5	544.5
drug_186	-585.5	-660.5	-625	-664	-776	685
drug_187	-635	-608	-572.5	416.5	517	402.5
drug_188	-585.5	-660.5	-625	-664	473	685
drug_189	-527	406.5	-560.5	-578.5	-503.5	768.5
drug_19	637.5	612.5	-480.5	698.5	-497	-458.5
drug_190	-527	406.5	-560.5	-578.5	400	768.5
drug_191	981.5	821.5	766.5	1032.5	736	1076.5
drug_192	812.5	840.5	865	924	709	807
drug_193	-585.5	-660.5	-625	-664	-725	685
drug_194	785.5	816.5	852.5	862	982	890.5
drug_195	-585.5	-660.5	-625	-664	678	685
drug_196	-585.5	-660.5	-625	-664	-818	685
drug_197	-585.5	-660.5	-625	-664	680	685
drug_198	-585.5	-660.5	-625	-664	-624.5	685
drug_199	-527	406.5	-560.5	-578.5	396	768.5
drug_2	862	872	856.5	945.5	827	818.5
drug_20	730.5	-768	-776.5	-767.5	-650.5	-749.5
drug_200	-585.5	-660.5	-625	-664	-558	685
drug_201	822	799	662.5	895.5	457	410.5
drug_202	545	560	543	598	547	450
drug_203	545	560	543	598	700.5	450
drug_204	775.5	613.5	416.5	608.5	442.5	651.5
drug_205	545	560	543	598	537	450
drug_206	423.5	462.5	655.5	460.5	615	722.5
drug_207	545	560	543	598	699.5	450
drug_208	-464.5	426	467.5	435.5	-441	387.5
drug_209	545	560	543	598	551	450
drug_21	530.5	-561.5	-571.5	-561.5	-572	-955.5
drug_210	642.5	705.5	766.5	728.5	562	544.5
drug_211	545	560	543	598	-392	450
drug_212	545	560	543	598	541.5	450
drug_213	775.5	613.5	416.5	608.5	443.5	651.5
drug_214	-464.5	426	467.5	435.5	420.5	387.5
drug_215	822	799	662.5	895.5	505.5	410.5
drug_216	-464.5	426	467.5	435.5	316	387.5
drug_217	545	560	543	598	399	450
drug_218	545	560	543	598	541.5	450
drug_219	642.5	705.5	766.5	728.5	650.5	544.5
drug_22	-753	325.5	-661	342.5	385.5	-272
drug_220	545	560	543	598	642	450
drug_221	545	560	543	598	644.5	450
drug_222	545	560	543	598	708	450
drug_223	545	560	543	598	537	450
drug_224	-464.5	426	467.5	435.5	583.5	387.5
drug_225	-493	473	645.5	486.5	463.5	393.5
drug_226	642.5	705.5	766.5	728.5	680	544.5
drug_227	642.5	705.5	766.5	728.5	795	544.5
drug_228	545	560	543	598	715	450
drug_229	545	560	543	598	547	450
drug_23	730.5	-768	-776.5	-767.5	-762.5	-749.5
drug_230	545	560	543	598	651.5	450
drug_231	-527	406.5	-560.5	-578.5	400	768.5
drug_232	423.5	462.5	655.5	460.5	451	722.5
drug_233	-585.5	-660.5	-625	-664	657	685
drug_234	642.5	705.5	766.5	728.5	725	544.5
drug_235	-585.5	-660.5	-625	-664	-558	685
drug_236	642.5	705.5	766.5	728.5	795	544.5
drug_237	-585.5	-660.5	-625	-664	-658	685
drug_238	-585.5	-660.5	-625	-664	-624.5	685
drug_239	642.5	705.5	766.5	728.5	757	544.5
drug_24	730.5	-768	-776.5	-767.5	-950.5	-749.5
drug_240	642.5	705.5	766.5	728.5	650.5	544.5
drug_241	769	809	501	813.5	694.5	746
drug_242	793.5	834.5	849	853	1002.5	424
drug_243	-585.5	-660.5	-625	-664	622.5	685
drug_244	-751.5	-690.5	569	524	533.5	-847.5
drug_245	-744.5	-780.5	-684	-786	-564.5	-760
drug_246	-585.5	-660.5	-625	-664	496	685
drug_247	-585.5	-660.5	-625	-664	657	685
drug_248	-585.5	-660.5	-625	-664	-725	685
drug_249	-585.5	-660.5	-625	-664	-725	685
drug_25	758.5	581	-580	498	-396.5	798
drug_250	-955	-856	-414	-865	-834	880
drug_251	642.5	705.5	766.5	728.5	634	544.5
drug_252	642.5	705.5	766.5	728.5	795	544.5
drug_253	642.5	705.5	766.5	728.5	857.5	544.5
drug_254	-585.5	-660.5	-625	-664	-624.5	685
drug_255	-585.5	-660.5	-625	-664	-658	685
drug_256	-585.5	-660.5	-625	-664	-758.5	685
drug_257	642.5	705.5	766.5	728.5	757	544.5
drug_258	843	896	884	907	875	812
drug_259	830.5	880.5	892.5	907	819	861.5
drug_26	812.5	840.5	865	924	811.5	807
drug_260	-585.5	-660.5	-625	-664	-624.5	685
drug_261	-585.5	-660.5	-625	-664	-658	685
drug_262	789.5	832.5	880	874	667.5	793
drug_263	785.5	816.5	852.5	862	1044	890.5
drug_264	-585.5	-660.5	-625	-664	-816	685
drug_265	-585.5	-660.5	-625	-664	-758.5	685
drug_266	-585.5	-660.5	-625	-664	-624.5	685
drug_267	-585.5	-660.5	-625	-664	-516	685
drug_268	-585.5	-660.5	-625	-664	-624.5	685
drug_269	850	903	898.5	953.5	758.5	752.5
drug_27	-585.5	-660.5	-625	-664	-769	685
drug_270	830.5	880.5	892.5	907	1084	861.5
drug_271	683	-458	-416	-462	-437	-414
drug_272	862	872	960	866	724.5	427
drug_273	-585.5	-660.5	-625	-664	673.5	685
drug_274	-585.5	-660.5	-625	-664	-837.5	685
drug_275	-527	406.5	-560.5	-578.5	-356	768.5
drug_276	-585.5	-660.5	-625	-664	-809.5	685
drug_277	642.5	705.5	766.5	728.5	680	544.5
drug_278	-585.5	-660.5	-625	-664	634	685
drug_279	-527	406.5	-560.5	-578.5	390.5	768.5
drug_28	-585.5	-660.5	-625	-664	-809.5	685
drug_280	642.5	705.5	766.5	728.5	610.5	544.5
drug_281	642.5	705.5	766.5	728.5	795	544.5
drug_282	-585.5	-660.5	-625	-664	-658	685
drug_283	-527	406.5	-560.5	-578.5	-352	768.5
drug_284	-585.5	-660.5	-625	-664	-646	685
drug_285	-675.5	-708.5	463	-708	-691.5	-776
drug_286	-585.5	-660.5	-625	-664	-725	685
drug_287	785.5	816.5	852.5	862	884.5	890.5
drug_288	-585.5	-660.5	-625	-664	-725	685
drug_289	934	946	928	963	1112.5	935
drug_29	758.5	581	-580	498	529.5	798
drug_290	796.5	792.5	-766.5	841.5	979.5	822.5
drug_291	927.5	907.5	-709	940	931.5	945
drug_292	-775	-787	-798.5	-786	-923	-739.5
drug_293	796.5	792.5	-766.5	841.5	-937.5	822.5
drug_294	830.5	880.5	892.5	907	814.5	861.5
drug_295	812.5	840.5	677	862	985.5	837
drug_296	867.5	847.5	922	873	1069.5	833
drug_297	545	560	531	588	623.5	741
drug_298	-775	-787	-798.5	-786	-874	-739.5
drug_299	-668.5	-753.5	-758	-754	888.5	-690
drug_3	862	872	856.5	945.5	990.5	818.5
drug_30	-585.5	-660.5	-625	-664	-758	685
drug_300	-775	-787	-798.5	-786	-614	-739.5
drug_301	932	935	848	957	952.5	921
drug_302	-775	-787	-798.5	-786	-869.5	-739.5
drug_303	792	-715.5	-696	818	816.5	852
drug_304	927.5	907.5	-709	940	933.5	945
drug_305	885.5	823.5	-746.5	846.5	-791	855.5
drug_306	927.5	907.5	-709	940	1093.5	945
drug_307	-775	-787	-798.5	-786	-771.5	-739.5
drug_308	839.5	852.5	-692.5	878.5	871.5	755.5
drug_309	796.5	792.5	-766.5	841.5	713	822.5
drug_31	865	876	952	876	869.5	851
drug_310	758.5	-741	-788.5	-746.5	-737.5	-779.5
drug_311	796.5	792.5	-766.5	841.5	-884.5	822.5
drug_312	-775	-787	-798.5	-786	-771.5	-739.5
drug_313	758.5	-741	-788.5	-746.5	-736.5	-779.5
drug_314	-585.5	-660.5	-625	-664	-776	685
drug_315	788	788	-784	845	885.5	871
drug_316	885.5	823.5	-746.5	846.5	619.5	855.5
drug_317	843	896	884	907	875	812
drug_318	-668.5	-753.5	-758	-754	788	-690
drug_319	839.5	852.5	-692.5	878.5	872.5	755.5
drug_32	758.5	581	-580	498	-497	798
drug_320	-747.5	-746.5	-785	-761	-859	-574
drug_321	894	830	407	855	533.5	867
drug_322	803	-701.5	-727	825	-749.5	788
drug_323	822	799	514	850	607	828
drug_324	942	936	955	951	1110.5	898
drug_325	803	-701.5	-727	825	-602	788
drug_326	822	799	514	850	498.5	828
drug_327	758.5	-611.5	-751	-624	-672.5	742
drug_328	-741	-616	-744.5	-628.5	-580.5	644.5
drug_329	894	830	407	855	425.5	867
drug_33	-635	-608	-572.5	416.5	414.5	402.5
drug_330	803	-701.5	-727	825	-700	788
drug_331	-997	-792	479.5	657.5	641	1033.5
drug_332	822	799	514	850	704	828
drug_333	803	-701.5	-727	825	-493.5	788
drug_334	-741	-616	-744.5	-628.5	-424.5	644.5
drug_335	822	799	514	850	450	828
drug_336	803	-701.5	-727	825	-747	788
drug_337	-527	434	-568.5	470.5	403.5	640.5
drug_338	822	799	514	850	607	828
drug_339	803	-701.5	-727	825	-493.5	788
drug_34	758.5	581	-580	498	434.5	798
drug_340	891	789	-690	838	-537	850
drug_341	-585.5	-660.5	-625	-664	678	685
drug_342	-792.5	-796.5	-802	-796	-781.5	-788
drug_343	812.5	840.5	677	862	670.5	837
drug_344	803	-701.5	-727	825	-602	788
drug_345	927.5	907.5	637	942	1007	943
drug_346	894	830	407	855	532	867
drug_347	803	-701.5	-727	825	-698.5	788
drug_348	803	-701.5	-727	825	-596.5	788
drug_349	898	933	958	831	809	896
drug_35	742	441	402	421	282	420
drug_350	943	947	954	921	928.5	947
drug_351	917	888	911	613	861	908
drug_352	952.5	967.5	968	958	1110.5	925
drug_353	911.5	923.5	944.5	-733	1062.5	918.5
drug_354	867.5	847.5	919	440	688.5	903
drug_355	904.5	916.5	935.5	637	1052.5	883.5
drug_356	-638.5	398.5	-689	-585	540.5	750
drug_357	904.5	916.5	935.5	637	736.5	883.5
drug_358	642.5	705.5	766.5	728.5	680	544.5
drug_359	730.5	-768	-776.5	-767.5	-857	-749.5
drug_36	870.5	850.5	509.5	867.5	863	922.5
drug_360	962	949	926	949	911.5	941
drug_361	904.5	916.5	935.5	637	896	883.5
drug_362	911.5	923.5	944.5	-733	900	918.5
drug_363	904.5	916.5	935.5	637	894	883.5
drug_364	875.5	855.5	924	-616	850.5	938
drug_365	904.5	916.5	935.5	637	898	883.5
drug_366	911.5	923.5	944.5	-733	900	918.5
drug_367	925	938	907	631	1068.5	924
drug_368	867.5	847.5	919	440	1006	903
drug_369	911.5	923.5	944.5	-733	902.5	918.5
drug_37	-585.5	-660.5	-625	-664	-469.5	685
drug_370	946	939	948	869	926.5	878
drug_371	947	940	941	914	1065.5	958
drug_372	950	953	950	943	956.5	968
drug_373	724	-627.5	-748	-696	-584	643
drug_374	917	888	911	613	752.5	908
drug_375	917	888	911	613	1020	908
drug_376	949	941	951	871	927.5	916
drug_377	642.5	705.5	766.5	728.5	634	544.5
drug_378	545	560	543	598	708	450
drug_379	-732	-744	-741.5	443.5	-730.5	407.5
drug_38	758.5	581	-580	498	-582	798
drug_380	-732	-744	-741.5	443.5	-620	407.5
drug_381	-786.5	-793.5	-794	-791	-621	778
drug_382	740	400	-593	395	374.5	462
drug_383	642.5	705.5	766.5	728.5	918	544.5
drug_384	-760.5	-760.5	-783	-774.5	-827	831
drug_385	-650.5	-695.5	-717	-701	-900.5	781
drug_386	-527	406.5	-560.5	-578.5	-507.5	768.5
drug_387	-707.5	-613.5	-687.5	393.5	-756	417.5
drug_388	-585.5	-660.5	-625	-664	-447	685
drug_389	-732	-744	-741.5	443.5	-730.5	407.5
drug_39	-585.5	-660.5	-625	-664	-809.5	685
drug_390	812.5	840.5	865	924	813.5	807
drug_391	423.5	462.5	655.5	460.5	458.5	722.5
drug_392	765	-604.5	-691	447	-594.5	423
drug_393	-585.5	-660.5	-625	-664	-516	685
drug_394	-791	-783	-786.5	399.5	-945.5	415.5
drug_395	-707.5	-613.5	-687.5	393.5	-605.5	417.5
drug_396	730.5	-768	-776.5	-767.5	-766	-749.5
drug_397	-791	-783	-786.5	399.5	-754	415.5
drug_398	-493	473	645.5	486.5	574.5	393.5
drug_399	785.5	816.5	852.5	862	1044	890.5
drug_4	862	872	856.5	945.5	-901	818.5
drug_40	742	441	402	421	487.5	420
drug_400	-493	473	645.5	486.5	572	393.5
drug_401	642.5	705.5	766.5	728.5	680	544.5
drug_402	-786.5	-793.5	-794	-791	-774.5	778
drug_403	-527	406.5	-560.5	-578.5	493	768.5
drug_404	642.5	705.5	766.5	728.5	857.5	544.5
drug_405	-952.5	707.5	798.5	-860.5	685.5	885.5
drug_406	-585.5	-660.5	-625	-664	680	685
drug_407	645	646	656	567	584.5	667
drug_408	658	668	671	639	609	658
drug_409	605.5	625.5	642.5	-580.5	-617	590.5
drug_41	-585.5	-660.5	-625	-664	596.5	685
drug_410	605.5	625.5	642.5	-580.5	659	590.5
drug_411	658	668	671	639	678	658
drug_412	658	668	671	639	613.5	658
drug_413	658	668	671	639	731	658
drug_414	-505	-562	-646	-596	-565	-958
drug_415	669	675	622	624.5	733	668
drug_416	658	668	671	639	731	658
drug_417	-550.5	567.5	-530.5	591.5	623	-558.5
drug_418	658	668	671	639	713	658
drug_419	622	601	-523	602	-470.5	-623
drug_42	758.5	581	-580	498	-393.5	798
drug_420	605.5	625.5	642.5	-580.5	702.5	590.5
drug_421	672.5	681.5	608.5	681.5	744	670.5
drug_422	666.5	672.5	588	643	620.5	-863
drug_423	670	679	663	678	694	676
drug_424	-761	676.5	679	647	758	663
drug_425	636.5	638.5	636.5	580	671.5	672.5
drug_426	668	678	654	644	681	-875
drug_427	672.5	681.5	608.5	681.5	624	670.5
drug_428	-550.5	567.5	-530.5	591.5	602.5	-558.5
drug_429	-751.5	642	665	-663.5	687	-652
drug_43	924	910	921	877	691.5	877
drug_430	636.5	638.5	636.5	580	580.5	672.5
drug_431	658	668	671	639	673.5	658
drug_432	671	680	610	679	692	-853
drug_433	-525	-584	-594.5	-629.5	-550.5	-606.5
drug_434	-525	-584	-620	-614	-573	-579
drug_435	-659	-775	-744	-777	-898	-762
drug_436	-659	-775	-744	-777	-725.5	-762
drug_437	423.5	462.5	655.5	460.5	347.5	722.5
drug_438	-635	-608	-572.5	416.5	310	402.5
drug_439	642.5	705.5	766.5	728.5	918	544.5
drug_44	-585.5	-660.5	-625	-664	-746.5	685
drug_440	769	809	501	813.5	489.5	746
drug_441	-585.5	-660.5	-625	-664	-776	685
drug_442	-635	-608	-572.5	416.5	418.5	402.5
drug_443	642.5	705.5	766.5	728.5	562	544.5
drug_444	-493	473	645.5	486.5	677	393.5
drug_445	642.5	705.5	766.5	728.5	817.5	544.5
drug_446	782	619	675	857	380.5	839
drug_447	642.5	705.5	766.5	728.5	717	544.5
drug_448	-585.5	-660.5	-625	-664	-624.5	685
drug_449	-585.5	-660.5	-625	-664	-646	685
drug_45	-585.5	-660.5	-625	-664	646	685
drug_450	-585.5	-660.5	-625	-664	-809.5	685
drug_451	-585.5	-660.5	-625	-664	-725	685
drug_452	528	542	671	-491	-712	653
drug_453	642.5	705.5	766.5	728.5	918	544.5
drug_454	-617.5	390	453	388	539.5	414
drug_455	830.5	880.5	892.5	907	818	861.5
drug_456	758.5	581	-580	498	-543.5	798
drug_457	758.5	581	-580	498	433.5	798
drug_458	642.5	705.5	766.5	728.5	680	544.5
drug_459	-585.5	-660.5	-625	-664	-658	685
drug_46	892	869	532	936	714	854
drug_460	781	609	664	637	747	762
drug_461	-527	406.5	-560.5	-578.5	396	768.5
drug_462	758.5	581	-580	498	592.5	798
drug_463	-585.5	-660.5	-625	-664	-516	685
drug_464	642.5	705.5	766.5	728.5	757	544.5
drug_465	870.5	850.5	509.5	867.5	756.5	922.5
drug_466	642.5	705.5	766.5	728.5	-696.5	544.5
drug_467	850	903	898.5	953.5	867.5	752.5
drug_468	642.5	705.5	766.5	728.5	-540	544.5
drug_469	830.5	880.5	892.5	907	919.5	861.5
drug_47	812.5	840.5	865	924	658.5	807
drug_470	642.5	705.5	766.5	728.5	-696	544.5
drug_471	793.5	834.5	878	899.5	704	804
drug_472	642.5	705.5	766.5	728.5	634	544.5
drug_473	642.5	705.5	766.5	728.5	650.5	544.5
drug_474	642.5	705.5	766.5	728.5	-696.5	544.5
drug_475	642.5	705.5	766.5	728.5	650.5	544.5
drug_476	642.5	705.5	766.5	728.5	573.5	544.5
drug_477	642.5	705.5	766.5	728.5	717	544.5
drug_478	642.5	705.5	766.5	728.5	573.5	544.5
drug_479	642.5	705.5	766.5	728.5	811.5	544.5
drug_48	642.5	705.5	766.5	728.5	811.5	544.5
drug_480	642.5	705.5	766.5	728.5	717	544.5
drug_481	416	421	465	426	547	783
drug_482	642.5	705.5	766.5	728.5	680	544.5
drug_483	642.5	705.5	766.5	728.5	610.5	544.5
drug_484	423.5	462.5	655.5	460.5	618	722.5
drug_485	642.5	705.5	766.5	728.5	918	544.5
drug_486	-754	-858	-827	-862	-800.5	-851
drug_487	642.5	705.5	766.5	728.5	811.5	544.5
drug_488	850	903	898.5	953.5	967	752.5
drug_489	642.5	705.5	766.5	728.5	717	544.5
drug_49	-493	473	645.5	486.5	572	393.5
drug_490	423.5	462.5	655.5	460.5	-405.5	722.5
drug_491	830.5	880.5	892.5	907	1023.5	861.5
drug_492	933	945	923	964	948.5	894
drug_493	642.5	705.5	766.5	728.5	680	544.5
drug_494	423.5	462.5	655.5	460.5	457	722.5
drug_495	642.5	705.5	766.5	728.5	537.5	544.5
drug_496	830.5	880.5	892.5	907	921	861.5
drug_5	945	965	973	971	945.5	857
drug_50	642.5	705.5	766.5	728.5	780.5	544.5
drug_51	769	809	501	813.5	758.5	746
drug_52	642.5	705.5	766.5	728.5	602	544.5
drug_53	-668.5	-753.5	-758	-754	796	-690
drug_54	-668.5	-753.5	-758	-754	957	-690
drug_55	-668.5	-753.5	-758	-754	-750.5	-690
drug_56	896	875	-662	880.5	910.5	893
drug_57	748.5	451.5	-663.5	424.5	-560	760.5
drug_58	737	423	413	397	385.5	422
drug_59	-493	473	645.5	486.5	468	393.5
drug_6	730.5	-768	-776.5	-767.5	-759	-749.5
drug_60	775.5	-619	-698.5	-621	-699.5	-762.5
drug_61	775.5	-619	-698.5	-621	701.5	-762.5
