ad	density	cc	spath	eigencentr	betwcentr
drug_121	-734	-786	528.5	518	-785	-788.5
drug_122	-821.5	-838.5	528.5	-842.5	-842.5	-647
drug_123	-583	-632	-593.5	-858	-646	528.5
drug_124	-734	-786	528.5	518	-785	-788.5
drug_125	-821.5	-838.5	528.5	-842.5	-842.5	-647
drug_126	-871	-874	528.5	-825	-861.5	-654.5
drug_127	-806.5	-817.5	-855.5	-832	-689.5	528.5
drug_128	-583	-632	-593.5	-858	-651	528.5
drug_129	-734	-786	528.5	518	-799.5	-788.5
drug_13	808.5	808.5	819.5	809	852.5	-827.5
drug_130	-734	-786	528.5	518	-785	-788.5
drug_131	-871	-874	528.5	-825	-864	-654.5
drug_132	-853	-859	528.5	518	-857	-732.5
drug_133	-583	-632	-593.5	-858	-646	528.5
drug_134	-853	-859	528.5	518	-851.5	-732.5
drug_135	516	518	-683.5	-574	740	528.5
drug_136	-871	-874	528.5	-825	-864	-654.5
drug_137	-871	-874	528.5	-825	-864	-654.5
drug_138	-821.5	-838.5	528.5	-842.5	-838	-647
drug_139	-734	-786	528.5	518	-799.5	-788.5
drug_14	-815	808.5	819.5	-809.5	852.5	-867
drug_140	-871	-874	528.5	-825	-864	-654.5
drug_141	-734	-786	528.5	518	-785	-788.5
drug_142	-549	518	528.5	-745.5	638.5	528.5
drug_143	-812	-814	-876	-668.5	-656.5	528.5
drug_144	516	518	-529	-764.5	740	528.5
drug_145	516	518	-529	-764.5	740	528.5
drug_146	516	518	528.5	-685	638.5	528.5
drug_147	-549	518	528.5	-747	638.5	528.5
drug_148	-692.5	-674.5	-811	518	-443	528.5
drug_149	516	518	-529	-764.5	-413	528.5
drug_15	808.5	808.5	819.5	809	806.5	-857
drug_150	-812	-814	-876	-668.5	-655.5	528.5
drug_151	516	518	-529	-764.5	432.5	528.5
drug_152	-562.5	518	528.5	-798	432.5	528.5
drug_153	516	518	-529	-764.5	432.5	528.5
drug_154	-704.5	-641.5	-774.5	-698	638.5	528.5
drug_155	-665.5	-651.5	-822	-789.5	-495.5	528.5
drug_156	-665.5	-651.5	-763	-837	740	-762.5
drug_157	-665.5	-651.5	-822	-789.5	740	528.5
drug_158	-831	-825	-877.5	518	-657.5	528.5
drug_159	-809	-722	-818.5	-750	-716.5	-814.5
drug_16	-815	808.5	819.5	-809.5	806.5	-867
drug_160	-704.5	-641.5	-805	-812.5	432.5	528.5
drug_161	-598.5	-660.5	-777	-794.5	-771	-843
drug_162	-704.5	-641.5	-805	-812.5	638.5	528.5
drug_163	-613.5	-589.5	-770.5	518	638.5	528.5
drug_164	516	518	-565.5	-713	432.5	528.5
drug_165	-605.5	-618.5	-792	518	-491.5	-688
drug_166	-549	518	528.5	-745.5	432.5	528.5
drug_167	-613.5	-589.5	-759.5	-786.5	-711.5	-835.5
drug_168	-665.5	-651.5	-822	-789.5	-498.5	528.5
drug_169	-678	-607	-784	518	432.5	528.5
drug_17	-562.5	518	528.5	-779.5	432.5	-817
drug_170	516	518	-543	518	638.5	-676
drug_171	-734	-786	528.5	518	-785	-788.5
drug_172	-792	-755	528.5	-677.5	-747.5	-703.5
drug_173	516	518	-565.5	-713	638.5	528.5
drug_174	-734	-786	528.5	518	-799.5	-788.5
drug_175	-866.5	-867.5	528.5	-878.5	-877.5	-878
drug_176	-843.5	-831.5	528.5	-870	-762.5	528.5
drug_177	516	518	-683.5	-574	-640.5	528.5
drug_178	-583	-632	-593.5	-858	-651	528.5
drug_179	-562.5	518	528.5	-757	638.5	528.5
drug_18	808.5	808.5	819.5	809	852.5	-827.5
drug_180	-583	-632	-593.5	-858	-651	528.5
drug_181	-821.5	-838.5	528.5	-842.5	-842.5	-647
drug_182	516	518	-683.5	-574	-612.5	528.5
