ad	density	cc	spath	eigencentr	betwcentr
drug_143	978.5	-988.5	-1032	-1044.5	-1068	-664
drug_144	942.5	-988.5	-1032	-1044.5	-1016	-664
drug_145	1005	636	573	687	621	-476
drug_146	952	-988.5	-1032	-1044.5	-1080	-664
drug_147	-677	-1047	-1032	-1044.5	-1040	-616
drug_148	952	-988.5	-1032	-1044.5	-974	-664
drug_149	952	-988.5	-1032	-1044.5	-953.5	-664
drug_15	-690	-700	393	-668	435	1066.5
drug_150	976.5	-988.5	-1032	-1044.5	-984.5	-664
drug_151	976.5	-988.5	-1032	-1044.5	-1034	-664
drug_152	-677	-1047	-1032	-1044.5	-1135.5	-616
drug_153	923	832	752.5	-958.5	838.5	544.5
drug_154	-677	-1047	-1032	-1044.5	-1082	-616
drug_155	952	-988.5	-1032	-1044.5	-953.5	-664
drug_156	-647	-1066	-1032	-982	-1140	-635
drug_157	1025.5	-988.5	-1032	-1044.5	-1016	-664
drug_158	-677	-1047	-1032	-1044.5	-1076	-616
drug_159	1011.5	-972.5	-1032	-1070.5	-964.5	-649.5
drug_16	-690	-700	393	-668	424	1066.5
drug_160	952	-988.5	-1032	-1044.5	-1016	-664
drug_161	-677	-1047	-1032	-1044.5	-1009	-616
drug_162	942.5	-988.5	-1032	-1044.5	-961	-664
drug_163	952	-988.5	-1032	-1044.5	-974	-664
drug_164	942.5	-988.5	-1032	-1044.5	-984.5	-664
drug_165	-647	-1066	-1032	-982	-1025.5	-635
drug_166	952	-988.5	-1032	-1044.5	-953.5	-664
drug_167	994.5	717.5	692.5	751.5	781.5	-524
drug_168	952	-988.5	-1032	-1044.5	-953.5	-664
drug_169	942.5	-988.5	-1032	-1044.5	-1016	-664
drug_17	-695.5	677	718.5	659.5	667	743.5
drug_170	1005	636	573	687	691.5	-476
drug_171	-695.5	-545.5	-543.5	-534.5	409.5	-606.5
drug_172	-695.5	-545.5	-543.5	-534.5	559.5	-606.5
drug_173	-486	-333	459.5	-368.5	359	913.5
drug_174	-486	399	633.5	-368.5	485.5	937.5
drug_175	-695.5	-545.5	-543.5	-534.5	545	-606.5
drug_176	762	771	431.5	759.5	306.5	871.5
drug_177	-695.5	-545.5	-543.5	-534.5	-641.5	-606.5
