ad	density	cc	spath	eigencentr	betwcentr
drug_141	523.5	-730	-747	-686	-844.5	672.5
drug_142	612	838	289	558.5	841.5	-602.5
drug_143	632	866	-527.5	401.5	870	626.5
drug_144	553	708	-585.5	-169	805	606
drug_145	633.5	934.5	-545	405	899	947
drug_146	632	866	-527.5	401.5	845.5	626.5
drug_147	635	949	-539.5	637.5	983	638.5
drug_148	575.5	864.5	-580.5	-372	846.5	640
drug_149	539.5	759.5	-601	-313	864	572
drug_15	-811	-879	-494.5	-624.5	-947	-848.5
drug_150	625	836	-559	289	887	656
drug_151	498.5	532.5	-236	288	621	559
drug_152	385.5	486.5	-247	338	562	-576
drug_153	612	838	289	558.5	866	-602.5
drug_154	625	836	182.5	575	1008	571
drug_155	609.5	739.5	-555.5	247	710	582
drug_156	-559	459	-532	-621	912	604
drug_157	635	949	-539.5	637.5	956	638.5
drug_158	626.5	950.5	-546	636	970	993
drug_159	628	906	-578	318	919	987
drug_16	-788.5	-815.5	-481	-490	-830.5	-838.5
drug_160	544.5	765.5	-564	-232	685	900
drug_161	628	906	-562	624	955	777
drug_162	629.5	898.5	-542	-399	954	581
drug_163	569.5	677.5	-529	258	604.5	-595
drug_164	-504	474.5	-215	273	707	-575
drug_165	-503	477.5	-251	276	590	573
drug_166	610.5	823.5	-565	251	817	795
drug_167	363.5	451.5	-235	-147	499	609
drug_168	553	708	242.5	408	828	622
drug_169	367	490	-308	220	598	665
drug_17	-811	-879	-494.5	-624.5	-783	-848.5
drug_170	369.5	678.5	-369	229	628	961
drug_171	-833	-901	-472	-624.5	-1019.5	-891
drug_172	-857	-879	475	-766.5	-772.5	-927.5
drug_173	-930.5	-929.5	-826	-926.5	-851.5	-898.5
drug_174	-833	-901	-472	-624.5	-878	-891
drug_175	-857	-879	475	-766.5	-900	-927.5
drug_176	-833	-901	-472	-624.5	-875.5	-891
drug_177	-846.5	-916.5	682	-867.5	-1060	-904.5
drug_178	-930.5	-929.5	-826	-926.5	-1073	-898.5
drug_179	-857	-879	475	-766.5	-818.5	-927.5
drug_18	-788.5	-815.5	-481	-490	-830.5	-838.5
drug_180	-833	-901	-472	-624.5	-798.5	-891
drug_181	-833	-901	-472	-624.5	-794	-891
drug_182	-846.5	-916.5	682	-867.5	-1124	-904.5
drug_183	-827.5	-923.5	-502.5	-821.5	-895	-864.5
drug_184	-932.5	-926.5	-684.5	-928.5	-1122.5	-851.5
drug_185	-927.5	-931.5	-856	-913.5	-922	-825.5
drug_186	-930.5	-929.5	-826	-926.5	-931.5	-898.5
drug_187	-857	-879	475	-766.5	-776.5	-927.5
drug_188	-857	-879	475	-766.5	-986.5	-927.5
drug_189	-868.5	-833.5	505	-784.5	-1063.5	-876.5
drug_19	-788.5	-815.5	-481	-490	-973.5	-838.5
drug_190	-857	-879	475	-766.5	-904	-927.5
drug_191	-1047	-1117	420	-1068	-1148	-1106
drug_192	-833	-901	-472	-624.5	-960.5	-891
drug_193	-827.5	-923.5	-502.5	-821.5	-1034	-864.5
drug_194	-857	-879	475	-766.5	-900	-927.5
drug_195	-836.5	-857.5	-426.5	-751.5	-697.5	-843.5
drug_196	-846.5	-916.5	682	-867.5	-916.5	-904.5
drug_197	-827.5	-923.5	-502.5	-821.5	-895	-864.5
drug_198	-928.5	-932.5	-836.5	-933.5	-776	-873.5
drug_199	-1011.5	-1028.5	-237	-818	-1048.5	-1014
drug_2	-779.5	-598.5	-423	504	-712	-882.5
drug_20	-788.5	-815.5	-481	-490	-908.5	-838.5
drug_200	-846.5	-916.5	682	-867.5	-920	-904.5
drug_201	813	732	767	-879.5	-893.5	-744.5
drug_202	813	732	767	-879.5	-757.5	-744.5
drug_203	700.5	634.5	732	-843.5	-732	-659.5
drug_204	-811	-879	-916.5	-914.5	-985.5	601
drug_205	-857	-879	-919	-920	-916.5	668.5
drug_206	684	626	721	-785.5	-619	-777.5
drug_207	783	717	791.5	-831	717.5	744.5
drug_208	813	732	767	-879.5	-757.5	-744.5
drug_209	700.5	634.5	732	-843.5	-729.5	-659.5
drug_21	-788.5	-815.5	-481	-490	-700.5	-838.5
drug_210	-885	-861	-912	-931	-926.5	779.5
drug_211	652	-621.5	746	-748.5	769.5	698
drug_212	813	732	767	-879.5	867	-744.5
drug_213	813	732	767	-879.5	-965	-744.5
drug_214	-588.5	-621.5	-618.5	-776.5	-908.5	-672.5
drug_215	-869	-812	470	-1044	-956.5	-861
drug_216	-857	-879	-919	-920	-775	668.5
drug_217	-857	-879	-919	-920	-775	668.5
drug_218	813	732	767	-879.5	-757.5	-744.5
drug_219	-857	-879	-919	-920	-855.5	668.5
drug_22	661.5	772.5	928.5	690.5	733	-226.5
drug_220	813	732	767	-879.5	-752	-744.5
drug_221	813	732	767	-879.5	-752	-744.5
drug_222	-885	-861	-912	-931	-929.5	779.5
drug_223	700.5	634.5	732	-843.5	-953	-659.5
drug_224	783	717	791.5	-831	718.5	744.5
drug_225	700.5	634.5	732	-843.5	-729.5	-659.5
drug_226	-905	-767	505	-1080	-982	979
drug_227	-885	-861	-912	-931	-869	779.5
drug_228	-885	-861	-912	-931	-786.5	779.5
drug_229	813	732	767	-879.5	-757.5	-744.5
drug_23	-811	-879	-494.5	-624.5	-867	-848.5
drug_230	813	732	767	-879.5	-965	-744.5
drug_231	927	802	843	827.5	912.5	832
drug_232	-875.5	-797	687	759.5	-754.5	-895.5
drug_233	925	783	828	823	733.5	-870.5
drug_234	925	783	828	823	734.5	-870.5
drug_235	925	783	828	823	907.5	-870.5
drug_236	-875.5	-797	687	759.5	-1025	-895.5
drug_237	928	-786	793	833	742.5	-913.5
drug_238	-868.5	-833.5	840	-752.5	-839	-831.5
drug_239	930	-823	825	835	-942.5	-886.5
drug_24	-811	-879	-494.5	-624.5	-1006	-848.5
drug_240	-839	-809	723	690.5	668.5	-829.5
drug_241	-769.5	-842.5	-518.5	546	-797	-790.5
drug_242	930	-823	825	835	753.5	-886.5
drug_243	907	-833.5	839	807	-1007.5	-842.5
drug_244	-1084	-1006.5	-693	-807	-1073.5	-1104
drug_245	845	597	720	673	-624.5	694
drug_246	-868.5	-833.5	743	762	-845	-855.5
drug_247	-788.5	-815.5	-489	646	-677	-853.5
drug_248	827.5	749.5	774	753	657.5	-776.5
drug_249	757	645	773	-829.5	838.5	-788.5
drug_25	625.5	-669	-897	-795	583.5	751.5
drug_250	-885	-861	842	-824.5	-955.5	-856.5
drug_251	-885	-861	795	-885.5	-716.5	-767.5
drug_252	822.5	684.5	742	752	641.5	-830.5
drug_253	938	-789.5	845	-900.5	-821	-828.5
drug_254	862	752	844	-864.5	741.5	-834.5
drug_255	-868.5	-833.5	744.5	-805	-996	-868
drug_256	-868.5	-833.5	744.5	-805	-1062	-868
drug_257	930	-823	825	835	755	-886.5
drug_258	-857	-879	861	-780.5	-984.5	807
drug_259	813	732	862	-808.5	-795.5	-698.5
drug_26	-811	-879	-942	-909	-439	826.5
drug_260	568	-490	-592.5	489	-532	-713.5
drug_261	728.5	575.5	-863	789.5	-648	788.5
drug_262	756	-566.5	-828.5	-887.5	-594.5	771
drug_263	728.5	575.5	-863	789.5	-597.5	788.5
drug_264	-789	-822	-416	-977	-995.5	-874
drug_265	728.5	575.5	-863	789.5	512	788.5
drug_266	788.5	614.5	-817.5	806	-300.5	783
drug_267	568	-490	-592.5	489	-537	-713.5
drug_268	728.5	575.5	-863	789.5	688	788.5
drug_269	660.5	541.5	-883.5	740.5	707	842.5
drug_27	625.5	-669	-897	-795	-636.5	751.5
drug_270	728.5	575.5	-863	789.5	686.5	788.5
drug_271	728.5	575.5	-863	789.5	684	788.5
drug_272	568	-490	-592.5	489	-701	-713.5
drug_273	568	-490	-592.5	489	-705.5	-713.5
drug_274	728.5	575.5	-863	789.5	516	788.5
drug_275	728.5	575.5	-863	789.5	512	788.5
drug_276	509	-545.5	-671	-447	-702.5	661.5
drug_277	728.5	575.5	-863	789.5	517.5	788.5
drug_278	509	-545.5	-671	-447	-561	661.5
drug_279	728.5	575.5	-863	789.5	747	788.5
drug_28	625.5	-669	-897	-795	-638.5	751.5
drug_280	660.5	541.5	-883.5	740.5	535	842.5
drug_281	-516	-730	-747	-686	-621.5	-521
drug_282	509	-545.5	-671	-447	-638.5	661.5
drug_283	568	-490	-592.5	489	-826	-713.5
drug_284	509	-545.5	-671	-447	-640	661.5
drug_285	-516	-730	-747	-686	-798	627
drug_286	684	626	-873	-828	-675	705.5
drug_287	568	-490	-592.5	489	-760	-713.5
drug_288	625.5	-669	-897	-795	755.5	751.5
drug_289	684	626	-873	-828	-675	705.5
drug_29	625.5	-669	-897	-795	-624.5	751.5
drug_290	596.5	-458	-632.5	547.5	-429.5	-693
drug_291	584	-415.5	-562	534	-479	-730.5
drug_292	584	-415.5	-562	534	-386	-730.5
drug_293	584	-415.5	-562	534	-479	-730.5
drug_294	584	-415.5	-562	534	-555.5	-730.5
drug_295	584	-415.5	-562	534	-303.5	-730.5
drug_296	557	-589.5	-647.5	-530.5	-580	-638.5
drug_297	499.5	-458	-625	-425	-404	-664.5
drug_298	584	-415.5	-562	534	-614.5	-730.5
drug_299	584	-415.5	-562	534	-620.5	-730.5
drug_3	-779.5	-598.5	-423	504	-663.5	-882.5
drug_30	-811	-879	-942	-909	580.5	826.5
drug_300	584	-415.5	-562	534	-680.5	-730.5
drug_301	544	-490	-612	510.5	-537	-676
drug_302	584	-415.5	-562	534	-473	-730.5
drug_303	584	-415.5	-562	534	-609	-730.5
drug_304	596.5	-458	-632.5	547.5	-512	-693
drug_305	584	-415.5	-562	534	-473	-730.5
drug_306	499.5	-458	-625	-425	-530	-664.5
drug_307	584	-415.5	-562	534	399	-730.5
drug_308	584	-415.5	-562	534	-614.5	-730.5
drug_309	584	-415.5	-562	534	-561.5	-730.5
drug_31	-811	-879	-942	-909	-603	826.5
drug_310	509	-545.5	-671	-447	-557.5	661.5
drug_311	544	-490	-612	510.5	-680.5	-676
drug_312	544	-490	-612	510.5	-619.5	-676
drug_313	544	-490	-612	510.5	543	-676
drug_314	584	-415.5	-562	534	-609	-730.5
drug_315	584	-415.5	-562	534	399	-730.5
drug_316	509	-545.5	-671	-447	-768.5	661.5
drug_317	499.5	-458	-625	-425	-531.5	-664.5
drug_318	584	-415.5	-562	534	-614.5	-730.5
drug_319	-458.5	-589.5	-641.5	-605.5	-747.5	-608.5
drug_32	625.5	-669	-897	-795	579	751.5
drug_320	775.5	665.5	780.5	652.5	622	799.5
drug_321	568	-490	-592.5	489	-760	-713.5
drug_322	761	697	812	-836.5	855	728
drug_323	775.5	665.5	780.5	652.5	789.5	799.5
drug_324	775.5	665.5	780.5	652.5	617.5	799.5
drug_325	813	732	802	-886.5	839.5	841
drug_326	775.5	665.5	780.5	652.5	-774.5	799.5
drug_327	775.5	665.5	780.5	652.5	614	799.5
drug_328	775.5	665.5	780.5	652.5	-728.5	799.5
drug_329	719	649	-821	558.5	-666	845.5
drug_33	-795	-906	-933.5	-902.5	-970.5	635
drug_330	761	697	812	-836.5	-951	728
drug_331	-716.5	-930.5	-544.5	-886.5	-926	764.5
drug_332	775.5	665.5	780.5	652.5	786	799.5
drug_333	568	-490	-592.5	489	-701	-713.5
drug_334	775.5	665.5	780.5	652.5	612	799.5
drug_335	719	649	-821	558.5	816	845.5
drug_336	775.5	665.5	780.5	652.5	617.5	799.5
drug_337	568	-490	-592.5	489	-618.5	-713.5
drug_338	775.5	665.5	780.5	652.5	-669.5	799.5
drug_339	568	-490	-592.5	489	-618.5	-713.5
drug_34	625.5	-669	-897	-795	583.5	751.5
drug_340	775.5	665.5	780.5	652.5	612	799.5
drug_341	568	-490	-592.5	489	-801	-713.5
drug_342	-983.5	-982.5	602	-792	-631.5	1159
drug_343	719	649	-821	558.5	817.5	845.5
drug_344	783	717	823	-863.5	677.5	869
drug_345	775.5	665.5	780.5	652.5	-794.5	799.5
drug_346	761	697	812	-836.5	-885	728
