ad	density	cc	spath	eigencentr	betwcentr
drug_109	781.5	750.5	801.5	580	681.5	794.5
drug_11	-383.5	626.5	700.5	-507.5	-795.5	544.5
drug_110	-683	-825	-853	-744	-937	-644
drug_111	-683	-825	-853	-744	-864.5	-644
drug_112	-683	-825	-853	-744	-850.5	-644
drug_113	-761.5	-718.5	-724	-632	-882.5	-879
drug_114	-683	-825	-853	-744	-1008	-644
drug_115	616	-702	-788	-590	-633	-779
drug_116	616	-702	-788	-590	-745.5	-779
drug_117	-683	-825	-853	-744	-815.5	-644
drug_118	616	-702	-788	-590	-753.5	-779
drug_119	819	820	887	831	1050	784
drug_12	771.5	723.5	320	649.5	286.5	-616
drug_120	-683	-825	-853	-744	-654	-644
drug_121	-683	-825	-853	-744	-875.5	-644
drug_122	-383.5	626.5	700.5	-507.5	-757.5	544.5
drug_123	-683	-825	-853	-744	-832	-644
drug_124	-683	-825	-853	-744	-711.5	-644
drug_125	-683	-825	-853	-744	-810.5	-644
drug_126	-683	-825	-853	-744	-977	-644
drug_127	457.5	416.5	587	-278	565.5	-702
drug_128	-809.5	807.5	881	820	713	806
drug_129	616	-702	-788	-590	-869.5	-779
drug_13	682.5	933.5	454.5	727.5	431	790.5
drug_130	616	-702	-788	-590	-866.5	-779
drug_131	-683	-825	-853	-744	-668	-644
drug_132	457.5	416.5	587	-278	-663	-702
drug_133	616	-702	-788	-590	-501	-779
drug_134	-383.5	626.5	700.5	-507.5	877.5	544.5
drug_135	-683	-825	-853	-744	-832	-644
drug_136	-799	-869	-812	-795.5	-796	680
drug_137	616	-702	-788	-590	-749.5	-779
drug_138	-683	-825	-853	-744	-1073	-644
drug_139	616	-702	-788	-590	-749.5	-779
drug_14	-383.5	626.5	700.5	-507.5	-779.5	544.5
drug_140	616	-702	-788	-590	-749.5	-779
drug_141	-683	-825	-853	-744	-616	-644
drug_142	-823.5	-904.5	-907.5	-831.5	-1038	-865.5
drug_143	-683	-825	-853	-744	-684	-644
drug_144	-816	-892	-895	-818	-707.5	-845
drug_145	-833	-895	-898	-822	-907.5	-893
drug_146	-833	-895	-898	-822	-711	-893
drug_147	-823.5	-904.5	-907.5	-831.5	-911.5	-865.5
drug_148	-823.5	-904.5	-907.5	-831.5	-1112.5	-865.5
drug_149	-823.5	-904.5	-907.5	-831.5	-723.5	-865.5
drug_15	682.5	933.5	454.5	727.5	-325.5	790.5
drug_150	-823.5	-904.5	-907.5	-831.5	-1140	-865.5
drug_151	-833	-895	-898	-822	-1036.5	-893
drug_152	-777.5	-774.5	-761.5	-692.5	-959.5	-812.5
drug_153	-823.5	-904.5	-907.5	-831.5	-1040	-865.5
drug_154	-683	-825	-853	-744	-991	-644
drug_155	-823.5	-904.5	-907.5	-831.5	-916	-865.5
drug_156	-383.5	626.5	700.5	-507.5	772	544.5
drug_157	-736.5	-882.5	-805.5	-806.5	-703.5	-793.5
drug_158	-736.5	-882.5	-805.5	-806.5	-900	-793.5
drug_159	-823.5	-904.5	-907.5	-831.5	-723.5	-865.5
drug_16	-383.5	626.5	700.5	-507.5	871	544.5
drug_160	-823.5	-904.5	-907.5	-831.5	-920	-865.5
drug_161	-823.5	-904.5	-907.5	-831.5	-726.5	-865.5
drug_162	-823.5	-904.5	-907.5	-831.5	-916	-865.5
drug_163	-833	-895	-898	-822	-712.5	-893
drug_164	-683	-825	-853	-744	661.5	-644
drug_165	-683	-825	-853	-744	-711.5	-644
drug_166	-823.5	-904.5	-907.5	-831.5	-924	-865.5
drug_167	-833	-895	-898	-822	-709.5	-893
drug_168	-823.5	-904.5	-907.5	-831.5	-1042.5	-865.5
drug_169	-823.5	-904.5	-907.5	-831.5	-799.5	-865.5
drug_17	682.5	933.5	454.5	727.5	387	790.5
drug_170	-683	-825	-853	-744	-668	-644
drug_171	-383.5	626.5	700.5	-507.5	-615.5	544.5
drug_172	-383.5	626.5	700.5	-507.5	595.5	544.5
drug_173	-383.5	626.5	700.5	-507.5	693.5	544.5
drug_174	-383.5	626.5	700.5	-507.5	-669	544.5
drug_175	802	833	909	817	985.5	786
drug_176	-557.5	-674.5	578.5	-609.5	678	692.5
drug_177	-522.5	-494.5	603	-415	547.5	-734
drug_178	-383.5	626.5	700.5	-507.5	900.5	544.5
drug_179	-383.5	626.5	700.5	-507.5	-525.5	544.5
drug_18	682.5	933.5	454.5	727.5	384	790.5
drug_180	-522.5	-494.5	603	-415	-612.5	-734
drug_181	-522.5	-494.5	603	-415	-678.5	-734
drug_182	-383.5	626.5	700.5	-507.5	595.5	544.5
drug_183	-557.5	-674.5	578.5	-609.5	604	692.5
drug_184	-383.5	626.5	700.5	-507.5	-691.5	544.5
drug_185	-522.5	-494.5	603	-415	-622	-734
drug_186	-383.5	626.5	700.5	-507.5	524	544.5
drug_187	-522.5	-494.5	603	-415	-486	-734
drug_188	-383.5	626.5	700.5	-507.5	853.5	544.5
drug_189	-383.5	626.5	700.5	-507.5	-808	544.5
drug_19	-383.5	626.5	700.5	-507.5	693.5	544.5
drug_190	-522.5	-494.5	603	-415	611.5	-734
drug_191	-902	-765	-720.5	-924.5	-704	-1013.5
drug_192	-522.5	-494.5	603	-415	-499	-734
drug_193	-522.5	-494.5	603	-415	273.5	-734
drug_194	-383.5	626.5	700.5	-507.5	595.5	544.5
drug_195	-557.5	-674.5	578.5	-609.5	686	692.5
drug_196	-383.5	626.5	700.5	-507.5	642.5	544.5
drug_197	-522.5	-494.5	603	-415	371	-734
drug_198	-557.5	-674.5	578.5	-609.5	604	692.5
drug_199	-383.5	626.5	700.5	-507.5	535	544.5
drug_2	-383.5	626.5	700.5	-507.5	-742	544.5
drug_20	682.5	933.5	454.5	727.5	431	790.5
drug_200	-383.5	626.5	700.5	-507.5	-713.5	544.5
drug_201	457.5	416.5	587	-278	-666	-702
drug_202	-580	-512	431	-619.5	-505.5	-856
drug_203	457.5	416.5	587	-278	-272	-702
drug_204	-580	-512	431	-619.5	-633.5	-856
drug_205	-383.5	626.5	700.5	-507.5	-615.5	544.5
drug_206	-567	-690	550	-627	-696.5	-754
drug_207	-383.5	626.5	700.5	-507.5	-757.5	544.5
drug_208	795	817	906	809	888	810
drug_209	-522.5	-494.5	603	-415	-612.5	-734
drug_21	-383.5	626.5	700.5	-507.5	642.5	544.5
drug_210	-567	-690	550	-627	-700	-754
drug_211	-522.5	-494.5	603	-415	-302.5	-734
drug_212	-383.5	626.5	700.5	-507.5	-881.5	544.5
drug_213	-383.5	626.5	700.5	-507.5	837	544.5
drug_214	-508	-413	-439	-300.5	-670.5	-847
drug_215	-468.5	-361.5	445.5	-266.5	-395	-842.5
drug_216	-567	-690	550	-627	-696.5	-754
drug_217	-508	-413	-439	-300.5	426	-847
drug_218	-468.5	-361.5	445.5	-266.5	456	-842.5
drug_219	-567	-690	550	-627	-700	-754
drug_22	-716.5	955.5	951.5	-835.5	948.5	883.5
drug_220	-567	-690	550	-627	-503.5	-754
drug_221	806.5	807.5	886	748.5	964.5	-849
drug_222	-508	-413	-439	-300.5	-477	-847
drug_223	-572	-369	364	-289	-518.5	-890
drug_224	457.5	416.5	587	-278	661.5	-702
drug_225	-522.5	-494.5	603	-415	365	-734
drug_226	-522.5	-494.5	603	-415	597.5	-734
drug_227	-383.5	626.5	700.5	-507.5	772	544.5
drug_228	-468.5	-361.5	445.5	-266.5	-393.5	-842.5
drug_229	-491	-388	-468	-287.5	-211.5	731
drug_23	802	833	909	817	983.5	786
drug_230	-580	-512	431	-619.5	-632	-856
drug_231	-522.5	-494.5	603	-415	629	-734
drug_232	-557.5	-674.5	578.5	-609.5	-649	692.5
drug_233	-383.5	626.5	700.5	-507.5	-795.5	544.5
drug_234	-777.5	-774.5	-761.5	-692.5	-1002	-812.5
drug_235	-777.5	-774.5	-761.5	-692.5	-902	-812.5
drug_236	-727	-683	-710	-429	-582.5	-875
drug_237	-522.5	-494.5	603	-415	-495.5	-734
drug_238	616	-702	-788	-590	-625	-779
drug_239	616	-702	-788	-590	-743	-779
drug_24	-714.5	-843.5	-842.5	-833.5	-801	871.5
drug_240	616	-702	-788	-590	-544.5	-779
drug_241	-683	-825	-853	-744	-864.5	-644
drug_242	-727	-683	-710	-429	-704.5	-875
drug_243	616	-702	-788	-590	-755	-779
drug_244	-683	-825	-853	-744	-880.5	-644
drug_245	-463.5	-356.5	571	303	-515.5	-314
drug_246	-683	-825	-853	-744	-810.5	-644
drug_247	-683	-825	-853	-744	-864.5	-644
drug_248	-777.5	-774.5	-761.5	-692.5	-586.5	-812.5
drug_249	811	827	898	827	978	781
drug_25	665	437	558.5	602	644	667.5
