ad	density	cc	spath	eigencentr	betwcentr
drug_134	662.5	642.5	-569.5	783.5	566	-765
drug_135	-444	573	633	488	-488	-581.5
drug_136	652.5	372.5	-746	766.5	547.5	707.5
drug_137	652.5	281.5	-434.5	776	866.5	715
drug_138	-546.5	387.5	-746	-641	717.5	-700
drug_139	614	665	-569.5	681	649.5	-765
drug_14	-1102.5	-994.5	1038.5	-1102.5	1087.5	1069.5
drug_140	652.5	372.5	-746	766.5	821.5	707.5
drug_141	614	665	-569.5	681	649.5	-765
drug_142	-714.5	-745.5	-718.5	288	-631	-411
drug_143	761.5	762.5	762	819	-709.5	-792
drug_144	533.5	-550	-569.5	-430.5	-383.5	-581.5
drug_145	533.5	-550	-569.5	-430.5	-393	-581.5
drug_146	581.5	-550	-569.5	-430.5	-383.5	608.5
drug_147	691	-647	-290.5	-705	-863.5	-842
drug_148	-714.5	-745.5	-718.5	639.5	-828.5	642
drug_149	533.5	-550	-569.5	-430.5	-488	-581.5
drug_15	776	-518	593.5	-669	630	-954
drug_150	761.5	762.5	762	819	-826.5	-792
drug_151	533.5	-550	-569.5	-430.5	-488	-581.5
drug_152	677	687	351.5	-705	-863.5	-842
drug_153	533.5	-550	-569.5	-430.5	-737	-581.5
drug_154	-714.5	-745.5	-718.5	316.5	-809.5	-411
drug_155	753.5	765.5	765.5	803.5	-907	-792
drug_156	581.5	-448	359.5	-659	317.5	625.5
drug_157	753.5	765.5	765.5	803.5	-909	-792
drug_158	-774.5	-774.5	-754.5	850.5	-718.5	717.5
drug_159	672.5	-448	-267	-659	-434	626.5
drug_16	-1102.5	-994.5	1038.5	-1102.5	-1062.5	1069.5
drug_160	-774.5	-774.5	759	800	752	721
drug_161	-569	458	554.5	-659	-314.5	512.5
drug_162	-774.5	-774.5	759	800	-916	721
drug_163	652.5	-550	-569.5	-430.5	-488	-581.5
drug_164	-714.5	-745.5	-718.5	403	-605.5	-411
drug_165	581.5	-550	-569.5	598.5	530.5	638
drug_166	-714.5	-745.5	-718.5	288	-809.5	-411
drug_167	-740.5	-684.5	-231	-519.5	-379	427.5
drug_168	753.5	765.5	765.5	803.5	-824.5	-792
drug_169	-714.5	-745.5	-718.5	563	-631	687
drug_17	710.5	721.5	740.5	807.5	713.5	728.5
drug_170	423	-370	375.5	-587	445	526.5
drug_171	614	665	-569.5	681	791.5	-765
drug_172	-685	-704	-718.5	627.5	-577.5	-678.5
drug_173	-685	-704	-395	556	-418	-296.5
drug_174	614	665	-569.5	681	649.5	-765
drug_175	-581.5	308.5	-379.5	-677.5	461.5	-489.5
drug_176	-733	-639	-690.5	616	262.5	-315
drug_177	-444	573	633	488	-542	-581.5
drug_178	-546.5	-293.5	-434.5	-632	-269.5	-308
drug_179	-764	-767	368.5	-685.5	-695	-831.5
drug_18	-1015.5	-977.5	-769.5	601	-970	-996
drug_180	-546.5	-293.5	-434.5	-632	333.5	-308
