ad	density	cc	spath	eigencentr	betwcentr
drug_201	-433.5	-583.5	516.5	-541.5	-447.5	587.5
drug_202	-433.5	-583.5	516.5	-541.5	-566	587.5
drug_203	-624.5	-499.5	-573	-229	-485.5	-724
drug_204	-433.5	-583.5	516.5	-541.5	-645	587.5
drug_205	-624.5	-499.5	-573	-229	-447.5	-724
drug_206	-624.5	-499.5	-573	-229	-444	-724
drug_207	-433.5	-583.5	516.5	-541.5	-502	587.5
drug_208	-433.5	-583.5	516.5	-541.5	-566	587.5
drug_209	-624.5	-499.5	-573	-229	-401	-724
drug_21	943.5	745.5	486.5	883.5	763	617.5
drug_210	-624.5	-499.5	-573	-229	-393	-724
drug_211	-433.5	-583.5	516.5	-541.5	-670	587.5
drug_212	-433.5	-583.5	516.5	-541.5	-609	587.5
drug_213	-433.5	-583.5	516.5	-541.5	-610	587.5
drug_214	-433.5	-583.5	516.5	-541.5	-679	587.5
drug_215	-433.5	-583.5	516.5	-541.5	-643	587.5
drug_216	-624.5	-499.5	-573	-229	-401	-724
drug_217	-433.5	-583.5	516.5	-541.5	-525	587.5
drug_218	-433.5	-583.5	516.5	-541.5	-502	587.5
drug_219	-433.5	-583.5	516.5	-541.5	-610	587.5
drug_22	281	523	-613	499	471	235
drug_220	-433.5	-583.5	516.5	-541.5	-602	587.5
drug_221	-624.5	-499.5	-573	-229	383	-724
drug_222	-433.5	-583.5	516.5	-541.5	-523.5	587.5
drug_223	-433.5	-583.5	516.5	-541.5	-679.5	587.5
drug_224	-433.5	-583.5	516.5	-541.5	-511.5	587.5
drug_225	-624.5	-499.5	-573	-229	-329	-724
drug_226	-433.5	-583.5	516.5	-541.5	-566	587.5
drug_227	-433.5	-583.5	516.5	-541.5	-643	587.5
drug_228	-624.5	-499.5	-573	-229	-337	-724
drug_229	-433.5	-583.5	516.5	-541.5	-643	587.5
drug_23	952	951	598	936	953.5	898
drug_230	-433.5	-583.5	516.5	-541.5	-567.5	587.5
drug_231	-822	-725	-770.5	-484.5	-537	-526.5
drug_232	-493	-585	560.5	-592.5	-736	-601.5
drug_233	-493	-585	560.5	-592.5	-736	-601.5
drug_234	-631	-809	714	-797	-842.5	390
drug_235	-747	-472	-598.5	-416.5	-644	-678.5
drug_236	-493	-585	560.5	-592.5	-692.5	-601.5
drug_237	-493	-585	560.5	-592.5	-769	-601.5
drug_238	-822	-725	-770.5	-484.5	-725.5	-526.5
drug_239	-631	-809	714	-797	-912.5	390
drug_24	952	951	598	936	953.5	898
drug_240	-631	-809	714	-797	-693	390
drug_241	-493	-585	560.5	-592.5	-641	-601.5
drug_242	-631	-809	714	-797	-842.5	390
drug_243	-631	-809	714	-797	-783.5	390
drug_244	-631	-809	714	-797	-745	390
drug_245	-631	-809	714	-797	-801.5	390
drug_246	-493	-585	560.5	-592.5	-640.5	-601.5
drug_247	-631	-809	714	-797	-890.5	390
drug_248	-631	-809	714	-797	-791.5	390
drug_249	-493	-585	560.5	-592.5	-641	-601.5
drug_25	539.5	362.5	486	405	714	636
drug_250	-631	-809	714	-797	-747.5	390
drug_251	-631	-809	714	-797	-747.5	390
drug_252	-631	-809	714	-797	-842.5	390
drug_253	-631	-809	714	-797	-747.5	390
drug_254	-493	-585	560.5	-592.5	-736	-601.5
drug_255	-631	-809	714	-797	-715.5	390
drug_256	-493	-585	560.5	-592.5	-736	-601.5
drug_257	-493	-585	560.5	-592.5	-679.5	-601.5
drug_258	-631	-809	714	-797	-786	390
drug_259	-493	-585	560.5	-592.5	-784	-601.5
drug_26	655	632	619	605	905	897
drug_260	391.5	244.5	-222	311.5	-201.5	-515
drug_261	-591	-286	-430	-205	392.5	781
drug_262	-295.5	-359.5	363	-337	-536.5	-799
drug_263	-507.5	514	-441.5	521.5	428	723.5
drug_264	391.5	244.5	-222	311.5	340	-515
drug_265	391.5	244.5	-222	311.5	-318.5	-515
drug_266	-507.5	514	-441.5	521.5	583	723.5
drug_267	391.5	244.5	-222	311.5	239	-515
drug_268	-591	-286	-430	-205	390	781
drug_269	391.5	244.5	-222	311.5	234.5	-515
drug_27	539.5	362.5	486	405	715	636
drug_270	391.5	244.5	-222	311.5	304.5	-515
drug_271	391.5	244.5	-222	311.5	304.5	-515
drug_272	391.5	244.5	-222	311.5	303	-515
drug_273	-507.5	514	-441.5	521.5	479.5	723.5
drug_274	-295.5	-359.5	363	-337	-528	-799
drug_275	-507.5	514	-441.5	521.5	545.5	723.5
drug_276	-591	-286	-430	-205	235	781
drug_277	-295.5	-359.5	363	-337	-563.5	-799
drug_278	-507.5	514	-441.5	521.5	583	723.5
drug_279	-507.5	514	-441.5	521.5	538	723.5
drug_28	539.5	362.5	486	405	703.5	636
drug_280	-591	-286	-430	-205	286.5	781
drug_281	-507.5	514	-441.5	521.5	484	723.5
drug_282	391.5	244.5	-222	311.5	-278.5	-515
drug_283	391.5	244.5	-222	311.5	300.5	-515
drug_284	-507.5	514	-441.5	521.5	484	723.5
drug_285	-433.5	-583.5	516.5	-541.5	-670	587.5
drug_286	-507.5	514	-441.5	521.5	587.5	723.5
drug_287	-591	-286	-430	-205	289	781
drug_288	-507.5	514	-441.5	521.5	583	723.5
drug_289	539.5	362.5	-542	429.5	624	618
drug_29	539.5	362.5	486	405	681	636
drug_290	-493	-585	560.5	-592.5	-784	-601.5
drug_291	-822	-725	-770.5	-484.5	584	-526.5
drug_292	-493	-585	560.5	-592.5	-692.5	-601.5
drug_293	-747	-472	-598.5	-416.5	-641	-678.5
drug_294	-493	-585	560.5	-592.5	-732.5	-601.5
drug_295	-493	-585	560.5	-592.5	-707	-601.5
drug_296	-493	-585	560.5	-592.5	-736	-601.5
drug_297	-493	-585	560.5	-592.5	-679.5	-601.5
drug_298	-493	-585	560.5	-592.5	-692.5	-601.5
drug_299	-493	-585	560.5	-592.5	-612	-601.5
drug_3	831.5	723.5	578.5	712.5	619	536.5
