ad	density	cc	spath	eigencentr	betwcentr
drug_208	640	642	672	-700.5	-787.5	-565.5
drug_209	528.5	547.5	637	-664.5	692.5	-482.5
drug_21	-610.5	-639.5	-393	-400	-858	-659.5
drug_210	-705	-685	-734	-751	-616	607.5
drug_211	482	-530.5	651	-574.5	687.5	529
drug_212	640	642	672	-700.5	-716	-565.5
drug_213	640	642	672	-700.5	784.5	-565.5
drug_214	-414.5	-530.5	-524.5	-602.5	-468.5	-495.5
drug_215	-693	-722	378	-865	-786	-684
drug_216	-677	-703	-741	-740	-603.5	499.5
drug_217	-677	-703	-741	-740	672	499.5
drug_218	640	642	672	-700.5	841.5	-565.5
drug_219	-677	-703	-741	-740	-477	499.5
drug_22	532	638	792	557	676	145
drug_220	640	642	672	-700.5	612.5	-565.5
drug_221	640	642	672	-700.5	-716	-565.5
drug_222	-705	-685	-734	-751	526.5	607.5
drug_223	528.5	547.5	637	-664.5	740.5	-482.5
drug_224	610	627	696.5	-652	637.5	574.5
drug_225	528.5	547.5	637	-664.5	-559.5	-482.5
drug_226	-728	-678	413	-901	-805.5	803
drug_227	-705	-685	-734	-751	-749	607.5
drug_228	-705	-685	-734	-751	746	607.5
drug_229	640	642	672	-700.5	-721.5	-565.5
drug_23	-632	-703	-406.5	-533.5	-691.5	-669.5
drug_230	640	642	672	-700.5	789	-565.5
drug_231	754	712	747	734.5	-765	660
drug_232	-695.5	-621	593	666.5	-799	-715.5
drug_233	752	693	733	730	654.5	-690.5
drug_234	752	693	733	730	-723	-690.5
drug_235	752	693	733	730	824.5	-690.5
drug_236	-695.5	-621	593	666.5	-539	-715.5
drug_237	755	682	698	740	-681	-733.5
drug_238	-688.5	-657.5	744	597.5	-750	-652.5
drug_239	757	710	730	742	-821	-706.5
drug_24	-632	-703	-406.5	-533.5	-531.5	-669.5
drug_240	-659	-633	628	597.5	-701	-650.5
drug_241	-592.5	-666.5	-429.5	456	-626	-611.5
drug_242	757	710	730	742	842	-706.5
drug_243	734	695	743	714	676.5	-663.5
drug_244	-904	-829.5	-605	-716	-895.5	-924
drug_245	672	510	625	580	-468	525
drug_246	-688.5	-657.5	648	669	-673	-676.5
drug_247	-610.5	-639.5	-401	553	538.5	-674.5
drug_248	654.5	659.5	679	660	-607	-597.5
drug_249	584	558	678	-650.5	-764	-609.5
drug_25	455.5	-576.5	-719	622.5	508.5	581.5
drug_250	-705	687	746	673	-901	-677.5
drug_251	-705	-685	700	-706.5	-755	-588.5
drug_252	649.5	595.5	647	659	731.5	-651.5
drug_253	765	691	749	728	830.5	-649.5
drug_254	689	662	748	-685.5	497	-655.5
drug_255	-688.5	-657.5	649.5	-630	-682.5	-688
drug_256	-688.5	-657.5	649.5	-630	-556	-688
drug_257	757	710	730	742	671.5	-706.5
drug_258	-677	-703	764	609.5	847.5	635
drug_259	640	642	765	-633.5	670.5	527
drug_26	-632	-703	-764	-730	-565.5	654.5
drug_260	398	-401	-498.5	399	-451	-534.5
drug_261	556.5	488.5	-685	696.5	-512	616.5
drug_262	583	-477.5	-651.5	-708.5	-504	600
drug_263	556.5	488.5	-685	696.5	608.5	616.5
drug_264	-615	-731	-322	-803	-814.5	-697
drug_265	556.5	488.5	-685	696.5	291.5	616.5
drug_266	615.5	527.5	-641.5	713	375.5	611
drug_267	398	-401	-498.5	399	-361	-534.5
drug_268	556.5	488.5	-685	696.5	434	616.5
drug_269	490.5	454.5	-705.5	647.5	455.5	670.5
drug_27	455.5	-576.5	-719	622.5	-488	581.5
drug_270	556.5	488.5	-685	696.5	439.5	616.5
