ad	density	cc	spath	eigencentr	betwcentr
drug_200	-320.5	-335.5	-632.5	-455.5	-394	559
drug_201	-302.5	-397.5	-603.5	-430.5	-425.5	-641.5
drug_202	-483	-533	-501.5	-511.5	-456.5	-621.5
drug_203	-460.5	-607.5	-389.5	306	-587.5	285
drug_204	-294.5	-353.5	-586.5	-390.5	-583	-606.5
drug_205	-389.5	-389.5	-523.5	-379.5	-358	-469.5
drug_206	469.5	-499.5	-491.5	542.5	425	-577.5
drug_207	-663	-720	-718.5	-593.5	-317.5	-531.5
drug_208	-410	-517	-447.5	239	-596.5	-253.5
drug_209	-731	-751	-323.5	-312.5	-594.5	-268.5
drug_21	641.5	646.5	-704.5	629	676.5	-649.5
drug_210	-622	-696	-327.5	306	-432.5	285
drug_211	-550	-645	-427	341	-700.5	549
drug_212	-728.5	-765.5	-598.5	-666.5	-573	-311.5
drug_213	-550	-645	-361.5	-640.5	-693	-334.5
drug_214	469.5	473.5	-651.5	542.5	512.5	-643.5
drug_215	-339.5	-365.5	-624.5	446	358.5	-501.5
drug_216	469.5	473.5	-460.5	542.5	455	-446.5
drug_217	-317	-388	-551.5	-400	-587	-662
drug_218	469.5	-607.5	-389.5	542.5	446	220.5
drug_219	-488.5	-628.5	-676.5	-509.5	-850	-682.5
drug_22	-597	-565	538.5	-591	-545	749
drug_220	-533.5	-590.5	-424.5	542.5	-703	-226.5
drug_221	-746.5	-767.5	-398.5	448	-840	321
drug_222	-660	-656	-343.5	446	-686	-249.5
drug_223	-460.5	-607.5	-389.5	306	-694	285
drug_224	-420	-617	428.5	-638	-530	390.5
drug_225	-598	-668	-359.5	239	-524.5	250
drug_226	-526.5	-491.5	-357.5	-634.5	-765	-331.5
drug_227	-688.5	-736.5	-403.5	542.5	-826	-261.5
drug_228	-572	-580	-699.5	-436.5	-538	-535.5
drug_229	-349	-386	-482.5	-386.5	-363.5	-618.5
drug_23	583.5	588.5	731.5	412.5	650.5	774.5
drug_230	-420	-617	-407	-638	-691	-315
drug_231	369	371	-443.5	722	-387	705
drug_232	542	546	-461.5	549.5	-689.5	530.5
drug_233	542	546	-464.5	549.5	-448.5	530.5
drug_234	715.5	721.5	-644.5	786	627	466
drug_235	715.5	721.5	505	786	892	466
drug_236	542	546	-618.5	549.5	611	530.5
drug_237	715.5	721.5	505	786	630.5	466
drug_238	594.5	598.5	600	905.5	-699	417.5
drug_239	715.5	721.5	-595	786	791	-609.5
drug_24	768.5	775.5	777.5	732	666.5	734
drug_240	768.5	775.5	777.5	732	866	734
drug_241	768.5	775.5	777.5	732	691	734
drug_242	715.5	721.5	-540	786	644	-545.5
drug_243	610.5	612.5	-658.5	944.5	614	639.5
drug_244	679.5	682.5	-654.5	593.5	682	311.5
