ad	density	cc	spath	eigencentr	betwcentr
drug_211	365	427	307.5	478.5	484.5	812.5
drug_212	371	397	-292.5	-391.5	435.5	753.5
drug_213	435.5	304.5	600	480	-403	843
drug_214	-243	-219	352	-365.5	478	598
drug_215	-565	-538	-391	-713	-721	558.5
drug_216	-427	-370	387.5	-568.5	-549	486.5
drug_217	-296.5	-250.5	343.5	-442.5	-443.5	491.5
drug_218	419.5	439.5	-302.5	433	440.5	682
drug_219	374	478	564	-539.5	-513	660
drug_22	781	865	647	978	981	530
drug_220	419.5	439.5	282	-502.5	595.5	680
drug_221	538	553	298.5	535.5	391.5	816.5
drug_222	374	478	353.5	493.5	561.5	803.5
drug_223	402.5	389.5	245	-499.5	577	703.5
drug_224	435.5	304.5	600	480	-323	843
drug_225	419.5	439.5	-310	-532	603	682
drug_226	435.5	-359	597.5	536.5	-555.5	851.5
drug_227	565.5	594.5	355.5	-654.5	-564	772.5
drug_228	345	277	372.5	-391.5	342.5	640.5
drug_229	-401.5	-363.5	508.5	-451.5	-553.5	499.5
drug_23	-740.5	-599.5	-673	691.5	744	-906
drug_230	383	449	-307.5	502	560.5	770.5
drug_231	-380	-430	-508	-481	399	568
drug_232	-482.5	-541.5	-542	-491.5	-378	614.5
drug_233	-380	457	557.5	-481	248.5	579.5
drug_234	-504	-559	-517.5	-556.5	-391	568
drug_235	-465.5	-524.5	-567.5	447	464.5	774
drug_236	356	375.5	-498	-418	333	557.5
drug_237	-590.5	-647.5	-572.5	-561.5	-494	737.5
drug_238	-713	-772	-802.5	-628.5	637	796.5
drug_239	-665.5	-721.5	-659	-569	-578	-670.5
drug_24	-663.5	-524.5	-613	-569	734	-858
drug_240	-740.5	-599.5	-710	-380	-471.5	-537
drug_241	-796.5	-652.5	-722.5	-477.5	-527.5	-567.5
drug_242	-665.5	-721.5	-659	-569	506	-670.5
drug_243	-465.5	-368.5	-719.5	-260	-237	-542
drug_244	-482.5	-541.5	659.5	549	680.5	-617
drug_245	-837	-641	647.5	610.5	485.5	-442
drug_246	-380	-430	-508	-481	-271.5	613
drug_247	356	375.5	-498	-418	245	556
drug_248	349.5	403.5	526.5	362.5	132.5	594.5
drug_249	-681.5	-737.5	-590.5	-619.5	-615	791
drug_25	541.5	669.5	755	649	796	529
drug_250	-618	-668	641.5	-617.5	-444.5	750.5
drug_251	-685.5	-741.5	-594	-623	-583	777.5
drug_252	-482.5	-541.5	-542	-491.5	-324.5	549
drug_253	-707	-765	-678.5	-634.5	-559.5	734.5
drug_254	-669	-725	-640	-599.5	-500	739.5
drug_255	-613	-667	-537.5	-603.5	-420	-548
drug_256	-681.5	-737.5	-590.5	-619.5	-581.5	726.5
drug_257	419.5	439.5	-508	-481	263	774
drug_258	-563	-625	-700.5	-575.5	-456	-638
drug_259	-701	-759	-752.5	-591.5	-604	-734
drug_26	550.5	612.5	746.5	557.5	607	-486
drug_260	-669	-725	-640	-599.5	-572	805.5
drug_261	-497.5	-554.5	635.5	-524.5	-384	817.5
drug_262	-725	-779	-810.5	-640.5	-629	-587
drug_263	-489.5	-548.5	637.5	-517	-386	818.5
drug_264	-596.5	-653.5	-553.5	-579.5	-491	714.5
drug_265	356	-369.5	366.5	-562.5	259	-721
drug_266	-664	-674	546.5	-636.5	-557	-713
drug_267	-489.5	-548.5	-529	-517	-420	-553.5
drug_268	-432.5	-460.5	462.5	-560.5	-252.5	-715
drug_269	-596.5	-653.5	-595.5	-588	-487	497.5
drug_27	526	617	751.5	654.5	657	550.5
drug_270	-515.5	-562.5	-516.5	-574.5	-339.5	697.5
drug_271	369	-378	638.5	-433.5	-220	781.5
drug_272	-380	-430	-520.5	-437.5	285.5	-549
drug_273	-385.5	-435.5	551.5	-510.5	-275	620.5
drug_274	-651.5	-672.5	629.5	-616.5	-514	-832
drug_275	-585	-581	-353.5	-584.5	385	540.5
drug_276	-580.5	-638.5	-602.5	-572.5	-433.5	813
drug_277	-417	-454	-354.5	-525.5	-256.5	686.5
drug_278	-573	-573	-688	-578	-430	-753.5
drug_279	-515.5	-562.5	-515.5	-573.5	-389	639.5
drug_28	701	744	632.5	759.5	531	608.5
drug_280	-704	-762	-708.5	-621.5	-611	670.5
drug_281	-687.5	-743.5	481.5	-615	-587	-841.5
drug_282	-590.5	-647.5	462.5	-551.5	-512	648
drug_283	-314	-366	-351.5	-549.5	-222	710.5
drug_284	-713	-772	-802.5	-628.5	-572	-754
drug_285	-726	-781	524	-641.5	-631	-839
drug_286	-721	-778	-808.5	-638.5	-627	-680
drug_287	-316	-387	-640	-602.5	276.5	-716
drug_288	-656.5	-713.5	-697.5	-586	-567	711.5
drug_289	-947.5	-796.5	-771	-476	-913.5	-691
drug_29	-425.5	497	634	444.5	782	-486
drug_290	572.5	499.5	-601.5	427.5	241.5	-593
drug_291	-620.5	-669.5	456	-609.5	-458.5	-821
drug_292	563.5	547.5	533.5	-397.5	-296	-603
drug_293	628	-621	-463.5	580.5	500.5	797.5
drug_294	544	-532	607.5	533.5	-337	830.5
drug_295	613.5	392.5	650.5	602.5	-150.5	870.5
drug_296	518	370	634.5	-533.5	-227	-829
drug_297	628	613	-417.5	-555.5	-407	809.5
drug_298	631.5	615.5	-386.5	557.5	639	-791
drug_299	567	-459	647.5	537.5	-261.5	-816
drug_3	-425	427	-260	638.5	542	-611
drug_30	582.5	688.5	725	640	826	-486
drug_300	634.5	573.5	631.5	593.5	-293	849.5
drug_301	503	455	-397.5	513.5	217.5	721.5
