ad	density	cc	spath	eigencentr	betwcentr
DB00502	-754.5	-1140.5	-1209	763.5	-1153	-1268
DB00586	-533	-1068	818.5	-653	-1194	-670.5
DB00717	-910.5	-1006.5	-911	-768.5	637	1111
DB00762	764.5	858.5	-1177.5	863	-1065	1200
DB00788	971	954	-1201.5	662.5	729	-1172.5
DB00867	854	926	958	791	866	1019
DB00997	917.5	958.5	1024	-754	-942	-1036
DB01050	911.5	1049.5	1048.5	961.5	996	834.5
DB01132	1081	564	-673.5	516.5	419.5	1263.5
DB01148	1117	1146	884	1137	874	1189
DB08911	-1024	-1088	-844	-1184	-1085	-1099
Digoxin	664.5	-559	-661	667	-574	-1202
Dipyridamole	-670	-662	-706	-674	-663	1199
Dobutamine	405.5	408.5	418.5	332.5	384	151.5
Dopamine	1063	1122	1176	-972.5	1091	1177
drug_1	877.5	890.5	1021	933	980	854
drug_10	1032.5	1068.5	973.5	1076.5	957.5	942.5
drug_100	477	629	663.5	634.5	518	-493.5
drug_101	477	629	663.5	634.5	507.5	-493.5
drug_102	609	757	774	683	782	435
drug_103	442.5	504.5	534	532	382	-700
drug_104	442.5	504.5	534	532	430	-700
drug_105	570.5	675.5	702	572.5	695	626.5
drug_106	442.5	504.5	534	532	723	-700
drug_107	477	629	663.5	634.5	-475.5	-436.5
drug_108	442.5	504.5	534	532	556.5	-700
drug_109	442.5	504.5	534	532	556.5	-700
drug_11	442.5	504.5	633.5	616	708	556
drug_110	-753	-740	-724.5	-590	-827.5	712.5
drug_111	-531	560	-576.5	-575.5	-732.5	504
drug_112	-659.5	-594.5	567.5	-664.5	-712.5	504
drug_113	-707.5	-515.5	-531	-721	-520.5	513
drug_114	-753	-740	-724.5	-590	-825	712.5
drug_115	-531	560	-576.5	-575.5	-731.5	504
drug_116	-664.5	-705.5	606	-517.5	-655	720
drug_117	-844	-764	-706.5	-639.5	-986	611
drug_118	-531	560	-576.5	-575.5	-733.5	504
drug_119	-655.5	-552.5	-661.5	-632.5	-689	471
drug_12	570.5	675.5	754	664	884	465
drug_120	-887	-823	-718.5	-764.5	-638	611
drug_121	-844	-764	-706.5	-639.5	-804.5	611
drug_122	-753	-740	-724.5	-590	-825	712.5
drug_123	-743	-729	-590.5	-583.5	-998	689.5
drug_124	-664.5	-705.5	606	-517.5	-833	720
drug_125	-738.5	-616.5	-665.5	-746.5	-649.5	471
drug_126	-655.5	-552.5	-661.5	-632.5	-689	471
drug_127	-537.5	-543.5	-712	-581.5	-760.5	563
drug_128	-753	-740	-724.5	-590	-822.5	712.5
drug_129	-707.5	-515.5	-531	-721	-521.5	513
drug_13	763.5	793.5	843.5	829.5	835	817.5
drug_130	477	629	744.5	-522	-794.5	531.5
drug_131	-863	-733	-580	-733	-549	-733
drug_132	-753	-740	-724.5	-590	-825	712.5
drug_133	-863	-733	-580	-733	-714.5	-733
drug_134	-537.5	-543.5	-712	-581.5	-759.5	563
drug_135	-664.5	-705.5	606	-517.5	-831.5	720
drug_136	-664.5	-705.5	606	-517.5	-834.5	720
drug_137	-844	-764	-706.5	-639.5	-642	611
drug_138	-753	-740	-724.5	-590	-657	712.5
drug_139	-655.5	-552.5	-661.5	-632.5	-690.5	471
drug_14	763.5	793.5	843.5	829.5	656.5	817.5
drug_140	-753	-740	-724.5	-590	-825	712.5
