ad	density	cc	spath	eigencentr	betwcentr
DB00252	-1037.5	-519.5	184.5	83	-516	612
DB00465	-1139	-1001.5	-1030	-1212	754	1181
DB00472	-1189.5	-1254.5	807	1219.5	-1271	-1210.5
DB00502	930.5	1033.5	1045.5	971.5	-1101.5	1000.5
DB00586	1200	821	821	1235	809	795
DB00717	-928	-801	-888.5	991	-1001	-1240
DB00762	1355	1353	1321	1348	1347	1336
DB00788	-968.5	-1069	-1229	838.5	-1120.5	-1035
DB00867	679.5	782.5	812	716	777	1263
DB00997	-1017	751.5	789.5	-704	743	1225.5
DB01050	633	-664	-741	-642	-691	-1157
DB01132	-1181	863.5	802	790	868	-1233
DB01148	-1205	-695	-647	1218	-716	-1172
DB08911	-1053	-1180	-1234	-1089	-1116.5	-1017
Digoxin	1046	1023	988	971	1215	-982
Dipyridamole	-1281	-1280	-827	-1165	-1270	-1254
Dobutamine	-1148.5	-1211.5	735.5	-1206	-1165	1214.5
Dopamine	-902	755.5	584.5	767	783	1226.5
drug_1	-987	-1191	-1227	-1058	-1148.5	-999
drug_10	439	-568.5	-789	-443	-659.5	-739
drug_100	-849.5	-930.5	486.5	361	-891	809.5
drug_101	771.5	831.5	819	750.5	748.5	691
drug_102	771.5	831.5	819	750.5	-808	691
drug_103	-849.5	-930.5	602	702	-1040	-753.5
drug_104	719.5	539.5	629	-612.5	-773.5	868
drug_105	771.5	831.5	819	750.5	-810.5	691
drug_106	771.5	831.5	819	750.5	605	691
drug_107	771.5	831.5	819	750.5	748.5	691
drug_108	771.5	831.5	819	750.5	-787.5	691
drug_109	719.5	539.5	629	-612.5	-696.5	868
drug_11	-610.5	-847.5	-897.5	-723.5	-908	-642.5
drug_110	592	887	912	802.5	838	610
drug_111	592	887	912	802.5	1008	610
drug_112	592	887	912	802.5	647.5	610
drug_113	833.5	812.5	995.5	696	1063	972.5
drug_114	592	887	912	802.5	818.5	610
drug_115	509	-568.5	793.5	-523	604.5	800.5
drug_116	509	-568.5	793.5	-523	771	800.5
drug_117	592	887	912	802.5	1008	610
drug_118	509	-568.5	793.5	-523	-652.5	800.5
drug_119	881.5	969.5	-994.5	-977.5	1123.5	-890.5
drug_12	-1081	-717	291	270	-735.5	-686.5
drug_120	592	887	912	802.5	688	610
drug_121	592	887	912	802.5	859	610
drug_122	-610.5	-847.5	-897.5	-723.5	-930	-642.5
drug_123	592	887	912	802.5	688	610
drug_124	592	887	912	802.5	656.5	610
drug_125	592	887	912	802.5	988.5	610
drug_126	592	887	912	802.5	1008	610
drug_127	-610.5	-847.5	-897.5	-723.5	-985	679.5
drug_128	844	842	783.5	878.5	734	751.5
drug_129	509	-568.5	793.5	-523	614	800.5
drug_13	-829.5	-615.5	-643	-499.5	-540	710.5
drug_130	509	-568.5	793.5	-523	601	800.5
drug_131	592	887	912	802.5	838	610
drug_132	-610.5	-847.5	-897.5	-723.5	-953.5	679.5
drug_133	509	-568.5	793.5	-523	609.5	800.5
drug_134	-610.5	-847.5	-897.5	-723.5	-985	-642.5
drug_135	592	887	912	802.5	988.5	610
drug_136	732.5	786.5	780.5	705	789	428.5
drug_137	509	-568.5	793.5	-523	609.5	800.5
drug_138	592	887	912	802.5	797.5	610
drug_139	509	-568.5	793.5	-523	-616	800.5
drug_14	-610.5	-847.5	-897.5	-723.5	-1030.5	-642.5
drug_140	509	-568.5	793.5	-523	-729.5	800.5
drug_141	592	887	912	802.5	806.5	610
drug_142	853	993	1027	929.5	1108.5	849
drug_143	592	887	912	802.5	1029	610
drug_144	883.5	977.5	971.5	911	-1112.5	764.5
drug_145	867.5	949.5	966.5	900.5	1044	944.5
drug_146	867.5	949.5	966.5	900.5	750	944.5
drug_147	853	993	1027	929.5	1113.5	849
drug_148	853	993	1027	929.5	941.5	849
drug_149	853	993	1027	929.5	941.5	849
drug_15	-829.5	-615.5	-643	-499.5	-584.5	710.5
drug_150	853	993	1027	929.5	785.5	849
drug_151	867.5	949.5	966.5	900.5	1045	944.5
drug_152	658.5	746.5	756	677	-616	826
drug_153	853	993	1027	929.5	1104	849
drug_154	592	887	912	802.5	1008	610
drug_155	853	993	1027	929.5	1115.5	849
drug_156	-610.5	-847.5	-897.5	-723.5	-985	-642.5
drug_157	-713	940	980	861	914	706
drug_158	-713	940	980	861	764	706
drug_159	853	993	1027	929.5	933	849
drug_16	-610.5	-847.5	-897.5	-723.5	-803	-642.5
drug_160	853	993	1027	929.5	938.5	849
drug_161	853	993	1027	929.5	938.5	849
drug_162	853	993	1027	929.5	1108.5	849
drug_163	867.5	949.5	966.5	900.5	1110	944.5
drug_164	592	887	912	802.5	1008	610
drug_165	592	887	912	802.5	838	610
drug_166	853	993	1027	929.5	1105.5	849
drug_167	867.5	949.5	966.5	900.5	876.5	944.5
drug_168	853	993	1027	929.5	820.5	849
drug_169	853	993	1027	929.5	1115.5	849
drug_17	-829.5	-615.5	-643	-499.5	-584.5	710.5
drug_170	592	887	912	802.5	859	610
drug_171	-610.5	-847.5	-897.5	-723.5	-853	-642.5
drug_172	-610.5	-847.5	-897.5	-723.5	-908	-642.5
drug_173	-610.5	-847.5	-897.5	-723.5	-757.5	-642.5
drug_174	-610.5	-847.5	-897.5	-723.5	-803	-642.5
drug_175	-526.5	808.5	-803	733.5	777	756.5
drug_176	411	578	-789	500	679.5	-739
drug_177	-610.5	-847.5	-897.5	-723.5	-908	727.5
drug_178	-610.5	-847.5	-897.5	-723.5	-985	-642.5
drug_179	-610.5	-847.5	-897.5	-723.5	-908	-642.5
drug_18	-829.5	-615.5	-643	-499.5	-526.5	710.5
drug_180	-610.5	-847.5	-897.5	-723.5	-1030.5	727.5
drug_181	-610.5	-847.5	-897.5	-723.5	-757.5	727.5
drug_182	-610.5	-847.5	-897.5	-723.5	-853	-642.5
drug_183	411	578	-789	500	-810	-739
drug_184	-610.5	-847.5	-897.5	-723.5	-930	-642.5
drug_185	-610.5	-847.5	-897.5	-723.5	-985	727.5
drug_186	-610.5	-847.5	-897.5	-723.5	-717	-642.5
drug_187	-610.5	-847.5	-897.5	-723.5	-985	727.5
drug_188	-610.5	-847.5	-897.5	-723.5	-757.5	-642.5
drug_189	-610.5	-847.5	-897.5	-723.5	-908	-642.5
drug_19	-610.5	-847.5	-897.5	-723.5	-757.5	-642.5
drug_190	-610.5	-847.5	-897.5	-723.5	-803	727.5
drug_191	-581	-788	-566.5	-763.5	-517	-1044.5
drug_192	-610.5	-847.5	-897.5	-723.5	-985	727.5
drug_193	-610.5	-847.5	-897.5	-723.5	-908	727.5
drug_194	-610.5	-847.5	-897.5	-723.5	880.5	-642.5
drug_195	411	578	-789	500	-659.5	-739
drug_196	-610.5	-847.5	-897.5	-723.5	678	-642.5
drug_197	-610.5	-847.5	-897.5	-723.5	-702.5	727.5
drug_198	411	578	-789	500	684	-739
