Name	Score	Rank
drug_165	drug_165	0.030793887133742	141.5
drug_373	drug_373	0.030793887133742	141.5
drug_433	drug_433	0.030793887133742	141.5
drug_434	drug_434	0.030793887133742	141.5
drug_397	drug_397	0.033011321364425	146
drug_172	drug_172	0.0365827506607926	147
drug_118	drug_118	0.0376303980338753	149
drug_130	drug_130	0.0376303980338753	149
drug_414	drug_414	0.0376303980338753	149
drug_463	drug_463	0.0398008136928989	151
drug_195	drug_195	0.0444555390284351	152
drug_103	drug_103	0.0445542478462181	153
drug_63	drug_63	0.0469477554357946	154
drug_153	drug_153	0.0527184725793073	155
drug_266	drug_266	0.0551335979093277	156
drug_285	drug_285	0.0562876020341824	157
drug_79	drug_79	0.057629768450733	158
drug_261	drug_261	0.061225602956146	159.5
drug_284	drug_284	0.061225602956146	159.5
drug_15	drug_15	0.0628331887941206	162.5
drug_16	drug_16	0.0628331887941206	162.5
drug_18	drug_18	0.0628331887941206	162.5
drug_21	drug_21	0.0628331887941206	162.5
drug_417	drug_417	0.0696198702027509	165.5
drug_428	drug_428	0.0696198702027509	165.5
drug_379	drug_379	0.0836744466779939	167.5
drug_380	drug_380	0.0836744466779939	167.5
drug_182	drug_182	0.0946346968060668	174.5
drug_243	drug_243	0.0946346968060668	174.5
drug_264	drug_264	0.0946346968060668	174.5
drug_268	drug_268	0.0946346968060668	174.5
drug_273	drug_273	0.0946346968060668	174.5
drug_278	drug_278	0.0946346968060668	174.5
drug_28	drug_28	0.0946346968060668	174.5
drug_282	drug_282	0.0946346968060668	174.5
drug_341	drug_341	0.0946346968060668	174.5
drug_39	drug_39	0.0946346968060668	174.5
drug_393	drug_393	0.0946346968060668	174.5
drug_459	drug_459	0.0946346968060668	174.5
drug_429	drug_429	0.112062476149599	181
drug_13	drug_13	0.121635340699288	182
drug_14	drug_14	0.124480487156385	183
drug_392	drug_392	0.139552118914767	184
drug_22	drug_22	0.145991899641573	185
drug_98	drug_98	0.146379937054466	186
drug_71	drug_71	0.149303488641385	187
drug_331	drug_331	0.170811420368903	188
drug_419	drug_419	0.178121229336832	189
drug_389	drug_389	0.178312987803707	190
drug_208	drug_208	0.182028674157805	192
drug_216	drug_216	0.182028674157805	192
drug_224	drug_224	0.182028674157805	192
drug_214	drug_214	0.194182183165221	194
drug_60	drug_60	0.197369543083691	196
drug_65	drug_65	0.197369543083691	196
drug_70	drug_70	0.197369543083691	196
drug_66	drug_66	0.198380559540557	198
drug_328	drug_328	0.202147622201344	199.5
drug_334	drug_334	0.202147622201344	199.5
drug_173	drug_173	0.207004508603219	203
drug_183	drug_183	0.207004508603219	203
drug_187	drug_187	0.207004508603219	203
drug_438	drug_438	0.207004508603219	203
drug_442	drug_442	0.207004508603219	203
drug_385	drug_385	0.22212670264448	206
drug_303	drug_303	0.2255859375	207
drug_244	drug_244	0.254956984313718	208
drug_305	drug_305	0.260532379062324	209
drug_454	drug_454	0.271026313460158	210
drug_387	drug_387	0.287930930927321	211.5
drug_395	drug_395	0.287930930927321	211.5
drug_333	drug_333	0.295527322593221	213
drug_152	drug_152	0.29726135569767	215
drug_158	drug_158	0.29726135569767	215
drug_409	drug_409	0.29726135569767	215
drug_68	drug_68	0.305705216268734	217
drug_202	drug_202	0.344005582590362	224
drug_203	drug_203	0.344005582590362	224
drug_205	drug_205	0.344005582590362	224
drug_209	drug_209	0.344005582590362	224
drug_211	drug_211	0.344005582590362	224
drug_217	drug_217	0.344005582590362	224
drug_218	drug_218	0.344005582590362	224
drug_221	drug_221	0.344005582590362	224
drug_222	drug_222	0.344005582590362	224
drug_223	drug_223	0.344005582590362	224
drug_228	drug_228	0.344005582590362	224
drug_230	drug_230	0.344005582590362	224
drug_378	drug_378	0.344005582590362	224
drug_19	drug_19	0.364605760248412	231
drug_157	drug_157	0.374184115981011	232
drug_410	drug_410	0.432674261775822	233.5
drug_420	drug_420	0.432674261775822	233.5
drug_337	drug_337	0.483689647108183	235
drug_33	drug_33	0.53962205769403	236
drug_322	drug_322	0.561032982691901	240.5
drug_325	drug_325	0.561032982691901	240.5
drug_330	drug_330	0.561032982691901	240.5
drug_336	drug_336	0.561032982691901	240.5
drug_339	drug_339	0.561032982691901	240.5
drug_344	drug_344	0.561032982691901	240.5
drug_347	drug_347	0.561032982691901	240.5
drug_348	drug_348	0.561032982691901	240.5
drug_408	drug_408	0.569547609868566	248
drug_411	drug_411	0.569547609868566	248
drug_412	drug_412	0.569547609868566	248
drug_413	drug_413	0.569547609868566	248
drug_416	drug_416	0.569547609868566	248
drug_418	drug_418	0.569547609868566	248
drug_431	drug_431	0.569547609868566	248
drug_407	drug_407	0.61158859871315	252
drug_111	drug_111	0.622493317612288	253
drug_174	drug_174	0.633559584617615	256.5
drug_398	drug_398	0.633559584617615	256.5
drug_400	drug_400	0.633559584617615	256.5
drug_424	drug_424	0.633559584617615	256.5
drug_59	drug_59	0.633559584617615	256.5
drug_64	drug_64	0.633559584617615	256.5
drug_176	drug_176	0.633841931481392	265
drug_184	drug_184	0.633841931481392	265
