Name	Score	Rank
drug_453	drug_453	0.0817554134157382	140
drug_486	drug_486	0.0983787371696558	141
drug_495	drug_495	0.121637940555489	142
drug_185	drug_185	0.131819585106861	143
drug_387	drug_387	0.133350817477903	144.5
drug_395	drug_395	0.133350817477903	144.5
drug_101	drug_101	0.139552118914767	148.5
drug_106	drug_106	0.139552118914767	148.5
drug_107	drug_107	0.139552118914767	148.5
drug_85	drug_85	0.139552118914767	148.5
drug_88	drug_88	0.139552118914767	148.5
drug_93	drug_93	0.139552118914767	148.5
drug_470	drug_470	0.142631617997763	152
drug_19	drug_19	0.143705814418686	153
drug_90	drug_90	0.156114691938183	154
drug_102	drug_102	0.163182888252156	157
drug_258	drug_258	0.163182888252156	157
drug_317	drug_317	0.163182888252156	157
drug_92	drug_92	0.163182888252156	157
drug_97	drug_97	0.163182888252156	157
drug_10	drug_10	0.170515777003771	178
drug_172	drug_172	0.170515777003771	178
drug_179	drug_179	0.170515777003771	178
drug_182	drug_182	0.170515777003771	178
drug_193	drug_193	0.170515777003771	178
drug_195	drug_195	0.170515777003771	178
drug_196	drug_196	0.170515777003771	178
drug_198	drug_198	0.170515777003771	178
drug_200	drug_200	0.170515777003771	178
drug_235	drug_235	0.170515777003771	178
drug_237	drug_237	0.170515777003771	178
drug_238	drug_238	0.170515777003771	178
drug_246	drug_246	0.170515777003771	178
drug_247	drug_247	0.170515777003771	178
drug_248	drug_248	0.170515777003771	178
drug_254	drug_254	0.170515777003771	178
drug_261	drug_261	0.170515777003771	178
drug_265	drug_265	0.170515777003771	178
drug_266	drug_266	0.170515777003771	178
drug_273	drug_273	0.170515777003771	178
drug_28	drug_28	0.170515777003771	178
drug_284	drug_284	0.170515777003771	178
drug_288	drug_288	0.170515777003771	178
drug_3	drug_3	0.170515777003771	178
drug_314	drug_314	0.170515777003771	178
drug_341	drug_341	0.170515777003771	178
drug_39	drug_39	0.170515777003771	178
drug_393	drug_393	0.170515777003771	178
drug_4	drug_4	0.170515777003771	178
drug_406	drug_406	0.170515777003771	178
drug_44	drug_44	0.170515777003771	178
drug_441	drug_441	0.170515777003771	178
drug_448	drug_448	0.170515777003771	178
drug_450	drug_450	0.170515777003771	178
drug_451	drug_451	0.170515777003771	178
drug_459	drug_459	0.170515777003771	178
drug_466	drug_466	0.170515777003771	178
drug_139	drug_139	0.174732389821209	197
drug_353	drug_353	0.186007290653054	199.5
drug_362	drug_362	0.186007290653054	199.5
drug_366	drug_366	0.186007290653054	199.5
drug_369	drug_369	0.186007290653054	199.5
drug_272	drug_272	0.198380559540557	202
drug_66	drug_66	0.202654308468898	203.5
drug_68	drug_68	0.202654308468898	203.5
drug_379	drug_379	0.207004508603219	206
drug_380	drug_380	0.207004508603219	206
drug_389	drug_389	0.207004508603219	206
drug_308	drug_308	0.211432250132721	208.5
drug_319	drug_319	0.211432250132721	208.5
drug_210	drug_210	0.213066458685169	212.5
drug_227	drug_227	0.213066458685169	212.5
drug_472	drug_472	0.213066458685169	212.5
drug_473	drug_473	0.213066458685169	212.5
drug_479	drug_479	0.213066458685169	212.5
drug_48	drug_48	0.213066458685169	212.5
drug_15	drug_15	0.214475898711726	217.5
drug_16	drug_16	0.214475898711726	217.5
drug_18	drug_18	0.214475898711726	217.5
drug_21	drug_21	0.214475898711726	217.5
drug_78	drug_78	0.245267686131906	220
drug_371	drug_371	0.251077453007622	221
drug_454	drug_454	0.260222697146758	222
drug_331	drug_331	0.265578728495601	223
drug_108	drug_108	0.271026313460158	224
drug_104	drug_104	0.273232310702151	226
drug_350	drug_350	0.273232310702151	226
drug_82	drug_82	0.273232310702151	226
