Name	Score	Rank
drug_210	drug_210	0.178312987803707	143
drug_229	drug_229	0.178312987803707	143
drug_232	drug_232	0.178312987803707	143
drug_254	drug_254	0.178312987803707	143
drug_359	drug_359	0.178312987803707	143
drug_379	drug_379	0.178312987803707	143
drug_395	drug_395	0.178312987803707	143
drug_440	drug_440	0.178312987803707	143
drug_407	drug_407	0.219266643981847	149.5
drug_90	drug_90	0.219266643981847	149.5
drug_102	drug_102	0.266054023455213	173
drug_107	drug_107	0.266054023455213	173
drug_108	drug_108	0.266054023455213	173
drug_135	drug_135	0.266054023455213	173
drug_151	drug_151	0.266054023455213	173
drug_153	drug_153	0.266054023455213	173
drug_164	drug_164	0.266054023455213	173
drug_173	drug_173	0.266054023455213	173
drug_179	drug_179	0.266054023455213	173
drug_193	drug_193	0.266054023455213	173
drug_211	drug_211	0.266054023455213	173
drug_219	drug_219	0.266054023455213	173
drug_222	drug_222	0.266054023455213	173
drug_235	drug_235	0.266054023455213	173
drug_237	drug_237	0.266054023455213	173
drug_239	drug_239	0.266054023455213	173
drug_24	drug_24	0.266054023455213	173
drug_242	drug_242	0.266054023455213	173
drug_249	drug_249	0.266054023455213	173
drug_253	drug_253	0.266054023455213	173
drug_294	drug_294	0.266054023455213	173
drug_304	drug_304	0.266054023455213	173
drug_305	drug_305	0.266054023455213	173
drug_307	drug_307	0.266054023455213	173
drug_314	drug_314	0.266054023455213	173
drug_349	drug_349	0.266054023455213	173
drug_354	drug_354	0.266054023455213	173
drug_355	drug_355	0.266054023455213	173
drug_364	drug_364	0.266054023455213	173
drug_368	drug_368	0.266054023455213	173
drug_372	drug_372	0.266054023455213	173
drug_377	drug_377	0.266054023455213	173
drug_378	drug_378	0.266054023455213	173
drug_387	drug_387	0.266054023455213	173
drug_394	drug_394	0.266054023455213	173
drug_442	drug_442	0.266054023455213	173
drug_444	drug_444	0.266054023455213	173
drug_456	drug_456	0.266054023455213	173
drug_461	drug_461	0.266054023455213	173
