Name	Score	Rank
drug_114	drug_114	0.174732389821209	149.5
drug_122	drug_122	0.174732389821209	149.5
drug_128	drug_128	0.174732389821209	149.5
drug_132	drug_132	0.174732389821209	149.5
drug_138	drug_138	0.174732389821209	149.5
drug_140	drug_140	0.174732389821209	149.5
drug_467	drug_467	0.186007290653054	153.5
drug_471	drug_471	0.186007290653054	153.5
drug_149	drug_149	0.194182183165221	155
drug_269	drug_269	0.22212670264448	157.5
drug_270	drug_270	0.22212670264448	157.5
drug_271	drug_271	0.22212670264448	157.5
drug_280	drug_280	0.22212670264448	157.5
drug_469	drug_469	0.229940842352405	160
drug_202	drug_202	0.232025267827262	161
drug_268	drug_268	0.232649479468068	162
drug_201	drug_201	0.238585550168599	163
drug_220	drug_220	0.259001056104518	164
drug_430	drug_430	0.260572213864481	165
drug_349	drug_349	0.280035796849021	166
drug_416	drug_416	0.29726135569767	167.5
drug_425	drug_425	0.29726135569767	167.5
drug_116	drug_116	0.300331865795426	169.5
drug_136	drug_136	0.300331865795426	169.5
drug_266	drug_266	0.310295084470779	171
drug_207	drug_207	0.311032090313663	172
drug_286	drug_286	0.316966925922923	173
drug_111	drug_111	0.327057149337815	174.5
drug_115	drug_115	0.327057149337815	174.5
drug_250	drug_250	0.343304209912341	176
drug_107	drug_107	0.35076162063278	177
drug_411	drug_411	0.351913241070702	178
drug_254	drug_254	0.354542933979248	179
drug_417	drug_417	0.371696742961171	180
drug_413	drug_413	0.378902278361722	181
drug_346	drug_346	0.405759140780859	182.5
drug_348	drug_348	0.405759140780859	182.5
drug_418	drug_418	0.41670039424559	184
drug_379	drug_379	0.424624735921101	189
drug_382	drug_382	0.424624735921101	189
drug_384	drug_384	0.424624735921101	189
drug_387	drug_387	0.424624735921101	189
drug_389	drug_389	0.424624735921101	189
drug_392	drug_392	0.424624735921101	189
drug_394	drug_394	0.424624735921101	189
drug_402	drug_402	0.424624735921101	189
drug_421	drug_421	0.424624735921101	189
drug_265	drug_265	0.43856612529205	195
drug_408	drug_408	0.43856612529205	195
drug_410	drug_410	0.43856612529205	195
drug_209	drug_209	0.454258576266683	197.5
drug_223	drug_223	0.454258576266683	197.5
drug_131	drug_131	0.491463991534741	199.5
drug_133	drug_133	0.491463991534741	199.5
drug_297	drug_297	0.492660459304863	201
drug_274	drug_274	0.510573446334302	202
drug_403	drug_403	0.520409038378108	203
drug_301	drug_301	0.529942992861806	206
drug_311	drug_311	0.529942992861806	206
drug_312	drug_312	0.529942992861806	206
drug_313	drug_313	0.529942992861806	206
drug_319	drug_319	0.529942992861806	206
drug_124	drug_124	0.539152693384717	209.5
drug_135	drug_135	0.539152693384717	209.5
drug_296	drug_296	0.53962205769403	214.5
drug_383	drug_383	0.53962205769403	214.5
drug_388	drug_388	0.53962205769403	214.5
drug_390	drug_390	0.53962205769403	214.5
drug_393	drug_393	0.53962205769403	214.5
drug_406	drug_406	0.53962205769403	214.5
drug_52	drug_52	0.53962205769403	214.5
drug_73	drug_73	0.53962205769403	214.5
drug_226	drug_226	0.557729506088944	219
drug_412	drug_412	0.569547609868566	222
drug_414	drug_414	0.569547609868566	222
drug_415	drug_415	0.569547609868566	222
drug_419	drug_419	0.569547609868566	222
drug_427	drug_427	0.569547609868566	222
drug_358	drug_358	0.579003017335188	227
drug_365	drug_365	0.579003017335188	227
drug_367	drug_367	0.579003017335188	227
drug_370	drug_370	0.579003017335188	227
drug_378	drug_378	0.579003017335188	227
drug_465	drug_465	0.585021514924805	230
drug_261	drug_261	0.596848595995251	231.5
drug_275	drug_275	0.596848595995251	231.5
drug_463	drug_463	0.600843535730823	233
drug_424	drug_424	0.622493317612288	234.5
drug_426	drug_426	0.622493317612288	234.5
drug_100	drug_100	0.644789308688104	246.5
drug_101	drug_101	0.644789308688104	246.5
drug_127	drug_127	0.644789308688104	246.5
drug_134	drug_134	0.644789308688104	246.5
drug_276	drug_276	0.644789308688104	246.5
drug_278	drug_278	0.644789308688104	246.5
drug_282	drug_282	0.644789308688104	246.5
drug_284	drug_284	0.644789308688104	246.5
drug_310	drug_310	0.644789308688104	246.5
drug_381	drug_381	0.644789308688104	246.5
drug_385	drug_385	0.644789308688104	246.5
drug_395	drug_395	0.644789308688104	246.5
drug_396	drug_396	0.644789308688104	246.5
drug_409	drug_409	0.644789308688104	246.5
drug_432	drug_432	0.644789308688104	246.5
drug_82	drug_82	0.644789308688104	246.5
drug_87	drug_87	0.644789308688104	246.5
drug_88	drug_88	0.644789308688104	246.5
drug_91	drug_91	0.644789308688104	246.5
drug_93	drug_93	0.644789308688104	246.5
drug_96	drug_96	0.644789308688104	246.5
drug_98	drug_98	0.644789308688104	246.5
drug_211	drug_211	0.656184415651126	258
drug_290	drug_290	0.667746848301523	259.5
drug_304	drug_304	0.667746848301523	259.5
drug_214	drug_214	0.691381547277673	265.5
drug_260	drug_260	0.691381547277673	265.5
drug_267	drug_267	0.691381547277673	265.5
drug_272	drug_272	0.691381547277673	265.5
drug_273	drug_273	0.691381547277673	265.5
drug_283	drug_283	0.691381547277673	265.5
drug_317	drug_317	0.691381547277673	265.5
drug_321	drug_321	0.691381547277673	265.5
drug_339	drug_339	0.691381547277673	265.5
drug_341	drug_341	0.691381547277673	265.5
drug_439	drug_439	0.695135291071141	271.5
drug_447	drug_447	0.695135291071141	271.5
drug_99	drug_99	0.72813809495157	273
drug_380	drug_380	0.753535800079451	274
drug_25	drug_25	0.777665469765201	278.5
drug_288	drug_288	0.777665469765201	278.5
drug_29	drug_29	0.777665469765201	278.5
drug_32	drug_32	0.777665469765201	278.5
drug_34	drug_34	0.777665469765201	278.5
drug_37	drug_37	0.777665469765201	278.5
drug_41	drug_41	0.777665469765201	278.5
drug_47	drug_47	0.777665469765201	278.5
drug_316	drug_316	0.793013834028209	283
drug_208	drug_208	0.798521557906642	285.5
drug_212	drug_212	0.798521557906642	285.5
drug_221	drug_221	0.798521557906642	285.5
drug_229	drug_229	0.798521557906642	285.5
drug_442	drug_442	0.806550026446231	288
drug_287	drug_287	0.820278218013557	289
drug_291	drug_291	0.834200581250422	298
drug_292	drug_292	0.834200581250422	298
drug_293	drug_293	0.834200581250422	298
drug_294	drug_294	0.834200581250422	298
drug_295	drug_295	0.834200581250422	298
drug_298	drug_298	0.834200581250422	298
drug_299	drug_299	0.834200581250422	298
drug_300	drug_300	0.834200581250422	298
drug_302	drug_302	0.834200581250422	298
drug_303	drug_303	0.834200581250422	298
drug_305	drug_305	0.834200581250422	298
drug_307	drug_307	0.834200581250422	298
drug_308	drug_308	0.834200581250422	298
drug_309	drug_309	0.834200581250422	298
drug_314	drug_314	0.834200581250422	298
drug_315	drug_315	0.834200581250422	298
drug_318	drug_318	0.834200581250422	298
drug_110	drug_110	0.84915625613332	307
drug_391	drug_391	0.906802303439854	308
drug_79	drug_79	0.911419803795918	309
drug_306	drug_306	0.921936356438159	310
drug_354	drug_354	0.941303798307852	311
drug_372	drug_372	0.946332024247978	312
drug_1	drug_1	1	404.5
drug_10	drug_10	1	404.5
drug_102	drug_102	1	404.5
drug_103	drug_103	1	404.5
drug_104	drug_104	1	404.5
drug_105	drug_105	1	404.5
drug_106	drug_106	1	404.5
drug_108	drug_108	1	404.5
drug_109	drug_109	1	404.5
drug_11	drug_11	1	404.5
drug_113	drug_113	1	404.5
drug_118	drug_118	1	404.5
drug_12	drug_12	1	404.5
drug_129	drug_129	1	404.5
drug_13	drug_13	1	404.5
drug_130	drug_130	1	404.5
drug_14	drug_14	1	404.5
drug_141	drug_141	1	404.5
drug_15	drug_15	1	404.5
drug_16	drug_16	1	404.5
drug_17	drug_17	1	404.5
drug_171	drug_171	1	404.5
drug_172	drug_172	1	404.5
drug_173	drug_173	1	404.5
drug_174	drug_174	1	404.5
drug_175	drug_175	1	404.5
drug_176	drug_176	1	404.5
drug_177	drug_177	1	404.5
drug_178	drug_178	1	404.5
drug_179	drug_179	1	404.5
drug_18	drug_18	1	404.5
drug_180	drug_180	1	404.5
drug_181	drug_181	1	404.5
drug_182	drug_182	1	404.5
drug_183	drug_183	1	404.5
drug_184	drug_184	1	404.5
drug_185	drug_185	1	404.5
drug_186	drug_186	1	404.5
drug_187	drug_187	1	404.5
drug_188	drug_188	1	404.5
drug_189	drug_189	1	404.5
drug_19	drug_19	1	404.5
drug_190	drug_190	1	404.5
drug_191	drug_191	1	404.5
drug_192	drug_192	1	404.5
drug_193	drug_193	1	404.5
drug_194	drug_194	1	404.5
drug_195	drug_195	1	404.5
drug_196	drug_196	1	404.5
drug_197	drug_197	1	404.5
drug_198	drug_198	1	404.5
drug_199	drug_199	1	404.5
drug_2	drug_2	1	404.5
drug_20	drug_20	1	404.5
drug_200	drug_200	1	404.5
drug_203	drug_203	1	404.5
drug_204	drug_204	1	404.5
drug_205	drug_205	1	404.5
drug_206	drug_206	1	404.5
drug_21	drug_21	1	404.5
drug_210	drug_210	1	404.5
drug_215	drug_215	1	404.5
drug_216	drug_216	1	404.5
drug_217	drug_217	1	404.5
drug_219	drug_219	1	404.5
drug_222	drug_222	1	404.5
drug_225	drug_225	1	404.5
drug_227	drug_227	1	404.5
drug_228	drug_228	1	404.5
drug_23	drug_23	1	404.5
drug_232	drug_232	1	404.5
drug_236	drug_236	1	404.5
drug_238	drug_238	1	404.5
drug_24	drug_24	1	404.5
drug_240	drug_240	1	404.5
drug_241	drug_241	1	404.5
drug_244	drug_244	1	404.5
drug_246	drug_246	1	404.5
drug_247	drug_247	1	404.5
drug_249	drug_249	1	404.5
drug_251	drug_251	1	404.5
drug_255	drug_255	1	404.5
drug_256	drug_256	1	404.5
drug_26	drug_26	1	404.5
drug_262	drug_262	1	404.5
drug_264	drug_264	1	404.5
drug_27	drug_27	1	404.5
drug_28	drug_28	1	404.5
drug_281	drug_281	1	404.5
drug_285	drug_285	1	404.5
drug_3	drug_3	1	404.5
drug_30	drug_30	1	404.5
drug_31	drug_31	1	404.5
drug_33	drug_33	1	404.5
drug_331	drug_331	1	404.5
drug_333	drug_333	1	404.5
drug_337	drug_337	1	404.5
drug_35	drug_35	1	404.5
drug_350	drug_350	1	404.5
drug_351	drug_351	1	404.5
drug_352	drug_352	1	404.5
drug_355	drug_355	1	404.5
drug_356	drug_356	1	404.5
drug_357	drug_357	1	404.5
drug_36	drug_36	1	404.5
drug_361	drug_361	1	404.5
drug_362	drug_362	1	404.5
drug_363	drug_363	1	404.5
drug_366	drug_366	1	404.5
drug_368	drug_368	1	404.5
